,Grand total/Total global #,Grand total/Total global $,Loss and nil/Perte et néant #,Loss and nil/Perte et néant $,1 - 4999 #,1 - 4999 $,5000 - 9999 #,5000 - 9999 $,10000 - 14999 #,10000 - 14999 $,15000 - 19999 #,15000 - 19999 $,20000 - 24999 #,20000 - 24999 $,25000 - 29999 #,25000 - 29999 $,30000 - 34999 #,30000 - 34999 $,35000 - 39999 #,35000 - 39999 $,40000 - 44999 #,40000 - 44999 $,45000 - 49999 #,45000 - 49999 $,50000 - 54999 #,50000 - 54999 $,55000 - 59999 #,55000 - 59999 $,60000 - 69999 #,60000 - 69999 $,70000 - 79999 #,70000 - 79999 $,80000 - 89999 #,80000 - 89999 $,90000 - 99999 #,90000 - 99999 $,100000 - 149999 #,100000 - 149999 $,150000 - 249999 #,150000 - 249999 $,250000 and over/et plus #,250000 and over/et plus $,50000 and over/et plus #,50000 and over/et plus $,Item
90,4224060,9885811,11660,14928,88090,83488,127460,146945,264690,390084,510320,919153,558260,1094579,481540,1021645,442660,993986,373040,867738,306730,780738,216420,574069,162250,445685,123600,354894,173160,541931,104270,343628,64570,233374,44280,165612,95540,420349,44760,250017,30780,242967,843200,2998456,Allowable portion of medical expenses
91,25983990,63791765,315080,547257,2402890,4336680,2041690,4025638,2579430,5746474,2513530,6392322,1938650,5121076,1648180,4362815,1591420,4216146,1494840,3933337,1366980,3594464,1141860,3008492,974850,2563968,831880,2190075,1338390,3516405,1000300,2634930,733200,1947283,513550,1379545,993330,2701662,370960,1026008,193000,547190,6949450,18507064,Total tax credits on personal amounts
92,5940960,8909692,250,137,13240,3560,22020,11057,81610,58004,209460,112436,327380,192115,364960,252858,416670,322444,434600,359012,430830,379621,391960,361398,356240,346682,321800,327828,552900,626104,450000,537172,357420,472616,268430,381150,562320,1047930,237920,774728,140950,2342840,3247970,6857049,Allowable charitable donations and government gifts
93,6210,51709,0,0,70,35,70,1028,160,125,360,497,430,323,410,399,460,412,470,579,490,681,370,645,340,823,330,909,520,1768,450,1729,320,2033,210,1393,430,4304,180,6304,150,27718,2930,46982,"Eligible cultural, ecological gifts"
94,5894670,2459817,20,2,12170,634,20910,2304,79440,8421,205240,27593,322880,49263,360500,66251,412170,85375,430440,95804,427200,101802,388840,97302,353600,93673,319760,88763,549860,170578,448180,146937,356200,129125,267650,104945,561160,292099,237640,220502,140830,678445,3234870,1925067,Total tax credit on donations and gifts
95,25984610,66251582,315080,547259,2402970,4337314,2041720,4027942,2579470,5754894,2513560,6419916,1938680,5170339,1648240,4429066,1591460,4301521,1494870,4029141,1367010,3696266,1141880,3105794,974890,2657641,831890,2278838,1338420,3686983,1000320,2781867,733220,2076408,513560,1484490,993360,2993760,371000,1246510,193050,1225634,6949690,20432131,Total federal non-refundable tax credits
96,3492820,7072377,610,0,9460,32,8140,69,56960,4314,108010,16447,173550,37617,192910,61622,223610,90064,235830,123784,251470,158862,218900,163653,199640,185954,178390,172260,319520,375249,253780,340523,202080,308706,154690,258491,377770,968642,195510,953612,132000,2852475,2013370,6415912,Federal dividend tax credit
97,8000,77241,0,0,0,0,0,0,0,0,20,11,30,22,60,57,70,106,130,247,160,356,190,563,210,690,190,793,440,2139,510,3044,540,3553,530,3903,2370,24013,1960,27588,610,10154,7350,75877,Overseas employment tax credit
98,36160,105828,0,0,0,0,0,0,380,82,910,453,1360,1030,1610,1711,1750,2500,1670,2973,1700,3692,1570,3843,1490,4108,1460,3922,2990,8024,2400,5938,2090,5068,1690,4255,5470,14357,4170,13551,3430,30318,25190,89542,Minimum tax carryover
99,16207240,110847125,120,996,16740,8910,23440,12005,445480,103868,917580,537594,1284350,1232346,1356070,1996051,1443840,2900063,1412130,3659854,1315950,4228798,1109940,4409590,953120,4584039,818940,4645747,1323120,9234416,993250,8698552,729700,7670662,511580,6305007,989750,16919593,369580,11608571,192570,22090464,6881600,91757052,Basic federal tax
100,1056460,769583,0,0,130,37,310,81,7150,362,19850,1291,37580,2444,47240,3771,57820,5153,63490,6731,69310,8329,61920,9800,56790,10963,52310,11725,97020,26834,79410,28916,65330,29159,52010,27486,138120,111196,83190,129172,67500,356133,691680,731583,Federal foreign tax credit
101,142560,22457,0,0,0,0,0,0,510,45,1680,162,4510,452,6100,664,7810,903,8610,1062,9840,1251,8830,1157,8220,1118,7670,1071,14230,2087,11070,1686,9080,1411,6890,1137,17630,3222,10480,2327,9390,2700,94650,16760,Federal political contribution tax  credit
102,48520,110449,0,0,0,0,0,0,500,60,940,292,1240,504,1280,668,1400,876,1450,990,1520,1202,1380,1135,1420,1308,1380,1242,2630,2566,2480,2470,2320,2416,2230,2424,7700,9952,7340,13647,11310,68697,38810,104721,Investment tax credit
103,305780,129722,0,0,20,1,60,-2816,520,60,2690,505,6280,1494,11470,2487,20140,5767,27330,8679,26140,9467,26770,10890,24910,10666,23650,10521,39500,18683,31750,15954,20300,10926,13760,7741,23540,14184,5430,3498,1530,1016,184360,93187,Labour-sponsored funds tax credit
104,34060,172737,70,965,10,39,10,53,20,52,10,28,30,223,30,64,40,84,60,107,60,227,80,120,90,150,110,209,470,681,1750,1227,2910,2408,2860,3214,11170,21329,7540,34125,6730,107433,33630,170776,Alternative minimum tax payable
105,16160020,109877247,110,997,16410,4242,23090,11404,440020,103690,911270,536143,1277190,1228373,1351680,1988948,1440370,2888503,1409420,3643513,1313810,4209744,1108160,4387857,951570,4561174,817600,4622317,1320930,9186386,991660,8651854,728460,7628962,510660,6268424,987380,16790292,368310,11467788,191930,21696635,6868490,90873832,Net federal tax
106,1196740,1846141,500,380,23480,2741,157770,54123,190900,129931,143260,143628,114200,147694,91560,142832,76180,134717,65990,127837,59680,125088,46890,107414,33390,88428,25300,71887,36370,109626,24940,79353,18210,60018,13420,45620,34780,122354,22110,82927,17820,69545,226330,729756,CPP contributions payable on self-employment and other earnings
107,3340,1164,0,0,110,5,290,28,480,76,440,99,400,118,290,100,240,97,220,104,180,105,130,76,110,64,90,58,130,81,70,45,60,36,40,23,60,34,20,13,0,0,570,356,Employment  Insurance premiums payable on self-employment and other eligible
108,484840,1208671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2590,389,25940,14929,82510,71924,95290,105324,67210,122104,45070,113178,97350,396299,41990,231801,26880,152708,484820,1208656,Social benefits repayment
109,12184490,46934975,60,284,9070,918,23540,3750,143810,26551,501800,157888,996270,479427,1041740,831881,1071670,1155374,1047490,1450256,993950,1758425,842840,1812223,728740,1875416,630970,1882258,1035340,3708984,788560,3501289,603000,3229017,426830,2721592,826980,7495025,311100,5152178,160730,9692238,5512240,39257998,Net provincial or territorial tax
110,17166850,159873023,600,1662,42460,7913,190550,69306,606270,260252,1033480,837779,1471530,1855679,1471950,2963864,1509020,4178849,1451660,5221941,1342350,6093591,1126670,6307899,965370,6525841,826030,6591838,1331490,13077886,997390,12338507,731890,11040725,512790,9149216,991840,24804381,370400,16934766,193130,31611129,6920310,132074288,Total tax payable
