,#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under/Moins de 4 999 #,4999 and under/Moins de 4 999 $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
57,58,Capital gains deduction,Déduction pour gains en capital,2012,59970,4214162.0,380.0,1556.0,310.0,794.0,660.0,1381.0,1050.0,2615.0,1520.0,5520.0,1610.0,8913.0,1750.0,11485.0,1970.0,16215.0,2120.0,20922.0,2160.0,26359.0,2160.0,31363.0,2090.0,33362.0,4560.0,100410.0,3700.0,95683.0,3120.0,96928.0,2740.0,96578.0,8680.0,431284.0,8330.0,784609.0,11050.0,2448186.0
58,59,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012,248700,863882.0,2390.0,1167.0,2780.0,3818.0,5890.0,11803.0,10470.0,25998.0,11950.0,31158.0,12120.0,33885.0,12420.0,36334.0,12350.0,36992.0,11760.0,35929.0,11270.0,35915.0,10780.0,35610.0,10210.0,34930.0,19290.0,68218.0,17430.0,64846.0,16420.0,64112.0,14840.0,60465.0,41610.0,183912.0,20620.0,83351.0,4120.0,15436.0
59,60,Additional deductions,Déductions supplémentaires,2012,196330,1096730.0,7440.0,21712.0,8910.0,44698.0,15240.0,75261.0,30040.0,130286.0,31270.0,108923.0,18940.0,78980.0,15430.0,73964.0,12790.0,64622.0,10600.0,55420.0,7790.0,45514.0,5590.0,32564.0,4640.0,26638.0,7360.0,44176.0,4990.0,34622.0,3220.0,25860.0,2360.0,21530.0,5370.0,78060.0,2750.0,77915.0,1590.0,55984.0
60,61,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012,12110,118741.0,200.0,2124.0,140.0,690.0,660.0,1452.0,930.0,3292.0,1000.0,4347.0,960.0,5859.0,800.0,5836.0,730.0,6784.0,680.0,5571.0,590.0,4711.0,540.0,4752.0,480.0,4291.0,790.0,8027.0,670.0,6309.0,510.0,5117.0,390.0,4666.0,1080.0,15388.0,550.0,10240.0,420.0,19284.0
61,62,Total deductions from net income,Total des déductions du revenu net,2012,4621330,34690441.0,129060.0,319661.0,481280.0,2829908.0,846630.0,6328841.0,1142810.0,7931093.0,545780.0,2664796.0,220950.0,1294225.0,161200.0,961945.0,134850.0,809316.0,114890.0,687535.0,94720.0,585836.0,79150.0,488885.0,68630.0,412708.0,113670.0,690505.0,86990.0,512759.0,68090.0,419422.0,55090.0,353155.0,140820.0,1167471.0,80440.0,1359853.0,56300.0,4872525.0
62,63,Taxable income assessed,Revenu imposable établi,2012,24607360,1000619000.0,2200900.0,3398043.0,1560640.0,10608874.0,2003040.0,21028720.0,2424290.0,34647518.0,1893590.0,38963198.0,1556210.0,39923233.0,1507970.0,45826068.0,1445200.0,50366521.0,1359460.0,53477616.0,1145680.0,49722271.0,989890.0,47110402.0,854310.0,44296127.0,1392680.0,81252791.0,1062700.0,71164995.0,786660.0,59487779.0,596000.0,49957191.0,1170150.0,122806280.0,442810.0,72288146.0,215180.0,104293230.0
63,64,Basic personal amount,Montant personnel de base,2012,25412500,273850061.0,2456510.0,25921225.0,1785350.0,19136762.0,2240540.0,24139664.0,2479820.0,26775290.0,1913220.0,20667607.0,1562680.0,16887072.0,1511490.0,16339902.0,1447400.0,15651490.0,1360750.0,14716984.0,1146490.0,12400370.0,990060.0,10708790.0,854310.0,9241231.0,1392580.0,15064238.0,1062550.0,11494360.0,786540.0,8508667.0,595860.0,6445794.0,1169610.0,12650933.0,442240.0,4781561.0,214500.0,2318122.0
64,65,Age amount,Montant en raison de l'âge,2012,4944730,29990088.0,98450.0,630628.0,154170.0,1027024.0,474520.0,3183719.0,1137740.0,7643183.0,698270.0,4691376.0,429910.0,2888282.0,386370.0,2591649.0,327280.0,2080135.0,297630.0,1715175.0,212130.0,1122187.0,164470.0,782269.0,133550.0,555728.0,213410.0,662119.0,130710.0,259389.0,47130.0,86228.0,19940.0,33396.0,16650.0,28295.0,1620.0,6323.0,790.0,2982.0
65,66,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012,2027520,14833458.0,111870.0,1004275.0,97910.0,710915.0,150230.0,1067447.0,191260.0,1265392.0,185530.0,1230929.0,142050.0,964138.0,123380.0,862634.0,110520.0,788514.0,96420.0,697176.0,84000.0,610032.0,74950.0,550155.0,66930.0,492999.0,114200.0,846981.0,95340.0,720356.0,77430.0,589456.0,62470.0,479822.0,147110.0,1159804.0,63940.0,521871.0,32010.0,270563.0
66,67,Amount for eligible dependant,Montant pour personne à charge admissible,2012,934370,9586082.0,67220.0,700164.0,74550.0,777687.0,106920.0,1122138.0,91280.0,949283.0,77220.0,795207.0,67550.0,692187.0,63590.0,649898.0,60010.0,611844.0,51220.0,521121.0,42900.0,434640.0,35600.0,359603.0,29480.0,297064.0,45870.0,461592.0,35100.0,352539.0,24980.0,250970.0,18900.0,190184.0,29570.0,296005.0,8910.0,88983.0,3500.0,34974.0
67,68,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012,3622210,13932247.0,174050.0,706039.0,138840.0,524525.0,197660.0,757349.0,196260.0,760274.0,191930.0,730332.0,189230.0,710061.0,197180.0,734772.0,204090.0,759212.0,197330.0,735164.0,182900.0,683871.0,171140.0,641842.0,157280.0,593461.0,279140.0,1062708.0,242980.0,934388.0,198920.0,774548.0,163490.0,644873.0,337920.0,1345607.0,135330.0,551187.0,66550.0,282036.0
68,69,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012,17540,80902.0,250.0,1226.0,300.0,1401.0,530.0,2518.0,880.0,3915.0,1200.0,5485.0,1150.0,5181.0,1250.0,5599.0,1370.0,6166.0,1290.0,5766.0,1140.0,5222.0,1020.0,4576.0,840.0,3837.0,1440.0,6562.0,1170.0,5526.0,860.0,4055.0,640.0,2837.0,1410.0,7044.0,550.0,2733.0,260.0,1252.0
69,70,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012,14557290,22078551.0,212470.0,38633.0,719370.0,125508.0,902980.0,321851.0,931640.0,516871.0,963590.0,746459.0,955160.0,948737.0,982440.0,1210587.0,995390.0,1474643.0,944010.0,1614695.0,847400.0,1649414.0,753810.0,1589044.0,667100.0,1438202.0,1103300.0,2413789.0,883100.0,1958804.0,671540.0,1498921.0,521240.0,1171768.0,1000300.0,2244691.0,351970.0,784487.0,150490.0,331448.0
70,71,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012,1513840,1202288.0,27550.0,1888.0,172580.0,29996.0,228360.0,77883.0,179860.0,88977.0,143020.0,89530.0,116450.0,87649.0,97040.0,81975.0,83640.0,76421.0,76590.0,75598.0,63260.0,66860.0,47780.0,58002.0,35570.0,48177.0,51740.0,76191.0,35780.0,56326.0,26470.0,43781.0,19290.0,32877.0,50480.0,92276.0,32840.0,64804.0,25560.0,53077.0
71,72,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012,14408460,7857282.0,468420.0,53699.0,827910.0,98301.0,914110.0,167418.0,916560.0,229913.0,940240.0,305869.0,933250.0,373315.0,955870.0,459010.0,968920.0,547038.0,916750.0,592230.0,823060.0,588739.0,727960.0,538624.0,647820.0,487224.0,1063880.0,811576.0,847870.0,656419.0,639500.0,503525.0,495330.0,394447.0,915770.0,729111.0,296870.0,236099.0,108370.0,84725.0
72,73,Employment Insurance premiums on self-employment and other eligible earnings,Cotisations à l'assurance-emploi pour le revenu d'un travail indépendant et pour d'autres revenus ad,2012,4990,1738.0,,,500.0,48.0,680.0,108.0,680.0,148.0,550.0,153.0,440.0,150.0,360.0,151.0,300.0,144.0,270.0,135.0,220.0,141.0,180.0,107.0,130.0,89.0,180.0,121.0,110.0,77.0,60.0,44.0,50.0,34.0,80.0,59.0,30.0,19.0,,
73,74,PPIP premiums paid,Cotisations au RPAP,2012,3650660,709639.0,113760.0,3731.0,205030.0,7645.0,238580.0,13723.0,246180.0,19581.0,261260.0,26981.0,269000.0,34365.0,289070.0,44734.0,295590.0,54017.0,256860.0,52878.0,220610.0,51287.0,190710.0,49399.0,163730.0,46685.0,257920.0,82737.0,199700.0,68717.0,122850.0,42447.0,84430.0,29500.0,160790.0,56231.0,50660.0,17224.0,23950.0,7755.0
74,75,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012,105170,21797.0,2380.0,57.0,4930.0,140.0,5880.0,255.0,5400.0,325.0,5080.0,410.0,4840.0,484.0,5090.0,625.0,5100.0,764.0,5310.0,930.0,5960.0,1220.0,6010.0,1397.0,6110.0,1578.0,10200.0,2948.0,7720.0,2414.0,6460.0,2081.0,4990.0,1644.0,9780.0,3227.0,3160.0,1051.0,790.0,245.0
75,76,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012,414290,42615.0,14550.0,294.0,42070.0,1462.0,61430.0,3245.0,50810.0,3443.0,40040.0,3250.0,31700.0,2956.0,25460.0,2525.0,21030.0,2108.0,18150.0,1863.0,14970.0,1675.0,12930.0,1550.0,10840.0,1379.0,16810.0,2464.0,9650.0,1900.0,6700.0,1514.0,4780.0,1138.0,13040.0,3601.0,10420.0,3290.0,8920.0,2957.0
76,77,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012,38750,116235.0,660.0,1971.0,620.0,1853.0,870.0,2603.0,1300.0,3894.0,1720.0,5148.0,2080.0,6243.0,2750.0,8246.0,2940.0,8808.0,3100.0,9297.0,2920.0,8766.0,2680.0,8025.0,2450.0,7353.0,4180.0,12531.0,3080.0,9252.0,2270.0,6804.0,1650.0,4962.0,2880.0,8643.0,550.0,1635.0,70.0,201.0
77,78,Canada employment amount,Montant canadien pour emploi,2012,16726670,17652206.0,789800.0,742758.0,967950.0,1025807.0,1064190.0,1128452.0,1045770.0,1111212.0,1076850.0,1135872.0,1064580.0,1118820.0,1097750.0,1147295.0,1110300.0,1159614.0,1055510.0,1103028.0,933650.0,983592.0,822630.0,871646.0,722460.0,768620.0,1188370.0,1269114.0,937270.0,1007368.0,706570.0,762040.0,544650.0,589001.0,1051650.0,1137360.0,377540.0,408147.0,169190.0,182461.0
78,79,Public transit amount,Montant pour le transport en commun,2012,1650720,1366573.0,90680.0,40985.0,103930.0,49660.0,127680.0,69025.0,128940.0,81690.0,123790.0,90479.0,112270.0,90675.0,106400.0,91350.0,102330.0,91920.0,94310.0,87844.0,84090.0,80194.0,74210.0,72387.0,65490.0,65209.0,105890.0,106580.0,82810.0,84576.0,63310.0,65834.0,47520.0,50712.0,94890.0,101940.0,31200.0,33363.0,10990.0,12149.0
79,80,Children's fitness amount,Montant pour la condition physique des enfants,2012,1557140,846075.0,20850.0,9384.0,18160.0,7682.0,29260.0,12566.0,38850.0,17121.0,47780.0,21115.0,57190.0,25353.0,67910.0,30200.0,78070.0,35150.0,82390.0,38252.0,82200.0,39207.0,81380.0,39724.0,78690.0,39255.0,148000.0,76720.0,139350.0,76147.0,120720.0,69836.0,105180.0,64428.0,220930.0,141289.0,92970.0,65653.0,47290.0,36991.0
80,81,Children's arts amount,Montant pour les activités artistiques des enfants,2012,536930,272961.0,6830.0,3020.0,5700.0,2446.0,8930.0,3998.0,11900.0,5375.0,14870.0,6638.0,17480.0,7764.0,20350.0,9039.0,23100.0,10275.0,24440.0,11061.0,24580.0,11154.0,24680.0,11312.0,24250.0,11214.0,47390.0,22524.0,47010.0,23008.0,43330.0,22325.0,39740.0,21292.0,88880.0,50074.0,41030.0,25173.0,22440.0,15271.0
81,82,Home buyers' amount,Montant pour l'achat d'une habitation,2012,180750,812406.0,1720.0,7098.0,1220.0,5320.0,2420.0,10176.0,4540.0,18965.0,7500.0,32055.0,10370.0,44801.0,13640.0,59233.0,15980.0,70157.0,16480.0,72816.0,15300.0,68547.0,14340.0,64516.0,12680.0,57654.0,20810.0,95615.0,14430.0,66901.0,9350.0,43770.0,6160.0,28863.0,10670.0,50714.0,2530.0,12177.0,630.0,3029.0
82,83,Adoption expenses,Frais d'adoption,2012,2220,13934.0,20.0,54.0,20.0,64.0,30.0,107.0,50.0,166.0,80.0,299.0,80.0,394.0,110.0,571.0,120.0,634.0,120.0,590.0,130.0,764.0,120.0,688.0,110.0,674.0,200.0,1342.0,190.0,1342.0,190.0,1218.0,150.0,1001.0,320.0,2352.0,140.0,1086.0,70.0,587.0
83,84,Pension income amount,Montant pour revenu de pension,2012,4574520,8720753.0,25200.0,34952.0,57290.0,88384.0,169070.0,272180.0,451310.0,756522.0,603300.0,1140087.0,445810.0,871643.0,432160.0,851099.0,390850.0,770835.0,382530.0,755997.0,282670.0,557564.0,221070.0,435775.0,181650.0,357981.0,284220.0,560121.0,182570.0,359208.0,118940.0,233581.0,79840.0,156204.0,162130.0,316619.0,68080.0,132607.0,35830.0,69394.0
84,85,Caregiver amount,Montant pour aidants naturels,2012,216330,1102307.0,4050.0,19602.0,3850.0,17969.0,6170.0,27687.0,9720.0,43950.0,12970.0,59682.0,14400.0,68933.0,16230.0,79810.0,16870.0,84763.0,16150.0,81494.0,14960.0,76755.0,12890.0,65838.0,11300.0,58826.0,18080.0,95001.0,14030.0,74833.0,11080.0,60255.0,8600.0,47584.0,17340.0,96639.0,5550.0,31160.0,2090.0,11523.0
85,86,Disability amount,Montant pour personnes handicapées,2012,591320,4458876.0,27410.0,211087.0,45180.0,341484.0,85670.0,644079.0,81480.0,612808.0,73610.0,552582.0,55330.0,417067.0,47070.0,354958.0,37660.0,284090.0,30820.0,232571.0,21900.0,165236.0,16690.0,125914.0,12870.0,97085.0,18530.0,139811.0,11200.0,84557.0,6890.0,51999.0,4450.0,33557.0,8670.0,65406.0,3650.0,27525.0,2260.0,17059.0
86,87,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012,200810,1977249.0,5740.0,62740.0,4540.0,48916.0,6700.0,69950.0,8740.0,83346.0,9980.0,89706.0,11170.0,100476.0,12570.0,115724.0,13680.0,128483.0,13470.0,128057.0,12740.0,124148.0,11420.0,112324.0,10270.0,101776.0,17210.0,172302.0,14380.0,147364.0,11320.0,115710.0,9050.0,93005.0,18120.0,185763.0,6700.0,67568.0,3020.0,29894.0
87,88,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012,600420,314103.0,4050.0,1750.0,3900.0,1518.0,12370.0,4433.0,29210.0,12099.0,41950.0,18272.0,50690.0,23266.0,57440.0,27615.0,59090.0,29669.0,53830.0,28628.0,47590.0,26071.0,41230.0,23405.0,35820.0,21179.0,56560.0,35021.0,39170.0,23467.0,24240.0,13726.0,15030.0,8298.0,21510.0,11922.0,5260.0,2918.0,1500.0,847.0
88,89,"Tuition, education, and textbook amounts","Frais de scolarité, montant relatif aux études et montant pour manuels",2012,1639220,8445074.0,420.0,533.0,860.0,1782.0,171450.0,184696.0,283110.0,1008467.0,208960.0,1191399.0,165310.0,1076822.0,137300.0,921716.0,113420.0,767081.0,94570.0,625515.0,76480.0,485858.0,63600.0,391595.0,54430.0,348227.0,84040.0,518609.0,58630.0,294770.0,39830.0,190848.0,27690.0,123341.0,44140.0,225472.0,11180.0,67162.0,3820.0,21182.0
89,90,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012,694350,3497986.0,580.0,2056.0,560.0,1898.0,2460.0,5524.0,8740.0,30398.0,16410.0,68481.0,22500.0,99283.0,29060.0,132749.0,34790.0,162372.0,38170.0,180529.0,38080.0,182807.0,37070.0,178813.0,35910.0,175407.0,65480.0,323039.0,63910.0,319932.0,55950.0,287573.0,49660.0,261821.0,114430.0,618989.0,51490.0,291490.0,29100.0,174827.0
90,91,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012,1197300,5912744.0,152040.0,700703.0,70790.0,319879.0,165520.0,872449.0,164730.0,888771.0,139000.0,751688.0,101660.0,526914.0,79350.0,385716.0,61200.0,284359.0,43760.0,202547.0,32650.0,152424.0,26090.0,120701.0,21920.0,101217.0,34390.0,156752.0,25470.0,113482.0,19140.0,84023.0,14430.0,61736.0,29920.0,125532.0,10800.0,44965.0,4430.0,18885.0
91,92,Medical expenses,Montant admissible des frais médicaux,2012,4319290,10411344.0,95620.0,94333.0,116420.0,130815.0,221660.0,293704.0,459320.0,843898.0,557550.0,1105080.0,482280.0,1041972.0,452820.0,1038777.0,395930.0,945514.0,337620.0,868561.0,238670.0,631896.0,181050.0,495454.0,139320.0,399196.0,196980.0,613175.0,122330.0,397576.0,73670.0,264400.0,50700.0,194492.0,110430.0,476421.0,52230.0,294559.0,34700.0,281520.0
92,93,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012,25420270,66016136.0,2457530.0,4649234.0,1786380.0,3673034.0,2241250.0,5168842.0,2480400.0,6566291.0,1913720.0,5334326.0,1563100.0,4367250.0,1511850.0,4235724.0,1447720.0,4032933.0,1361060.0,3773476.0,1146700.0,3181596.0,990260.0,2745521.0,854470.0,2372779.0,1392840.0,3853843.0,1062750.0,2939250.0,786700.0,2187027.0,595990.0,1675291.0,1170070.0,3334803.0,442600.0,1285023.0,214890.0,639894.0
93,94,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012,5661940,8571767.0,11220.0,2441.0,17520.0,5129.0,57640.0,21389.0,162350.0,106745.0,285170.0,172415.0,317600.0,220224.0,366630.0,287437.0,389890.0,350608.0,398770.0,358333.0,366240.0,338637.0,336640.0,324437.0,308100.0,311773.0,532580.0,594277.0,440370.0,513363.0,353110.0,440927.0,287380.0,386067.0,613330.0,1045870.0,266460.0,779923.0,150960.0,2311774.0
94,95,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012,8240,64362.0,90.0,92.0,100.0,94.0,250.0,181.0,480.0,244.0,620.0,490.0,580.0,6349.0,600.0,499.0,620.0,622.0,590.0,710.0,550.0,793.0,440.0,681.0,440.0,904.0,690.0,1673.0,510.0,1536.0,400.0,1721.0,300.0,1085.0,610.0,4291.0,250.0,5915.0,130.0,36480.0
95,96,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012,5621740,2368104.0,10330.0,507.0,16580.0,1267.0,56120.0,5030.0,159110.0,21106.0,281370.0,42277.0,313940.0,57899.0,363000.0,76213.0,386290.0,86600.0,395490.0,96214.0,363450.0,91180.0,334270.0,87598.0,306120.0,84512.0,529710.0,161955.0,438360.0,140224.0,351890.0,120774.0,286580.0,106052.0,612060.0,290541.0,266200.0,221179.0,150890.0,676978.0
96,97,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012,25421070,68384240.0,2457630.0,4649741.0,1786460.0,3674301.0,2241330.0,5173871.0,2480450.0,6587398.0,1913750.0,5376603.0,1563220.0,4425149.0,1511890.0,4311937.0,1447750.0,4119533.0,1361100.0,3869689.0,1146750.0,3272776.0,990300.0,2833119.0,854480.0,2457291.0,1392850.0,4015798.0,1062760.0,3079474.0,786700.0,2307800.0,595990.0,1781343.0,1170090.0,3625344.0,442620.0,1506202.0,214950.0,1316871.0
97,98,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012,3521780,8224089.0,10510.0,20.0,8370.0,51.0,45460.0,3177.0,88060.0,13318.0,158280.0,33091.0,177520.0,58095.0,206760.0,86061.0,223400.0,122756.0,245750.0,160890.0,215760.0,175112.0,198520.0,207091.0,180430.0,195077.0,324610.0,435190.0,264540.0,401332.0,210880.0,374748.0,168300.0,314075.0,422050.0,1220465.0,225550.0,1206077.0,147040.0,3217465.0
98,99,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012,6010,61420.0,,,,,20.0,3.0,50.0,22.0,60.0,32.0,60.0,53.0,60.0,68.0,60.0,119.0,90.0,204.0,100.0,276.0,120.0,396.0,120.0,440.0,250.0,1182.0,290.0,1675.0,310.0,2040.0,380.0,2846.0,1720.0,17201.0,1720.0,24535.0,620.0,10329.0
99,100,Minimum tax carryover,Report d'impôt minimum,2012,44510,126722.0,,,,,320.0,62.0,770.0,370.0,1380.0,963.0,1640.0,1658.0,1800.0,2382.0,1860.0,3298.0,2090.0,4596.0,1840.0,4484.0,1760.0,4621.0,1670.0,4749.0,3630.0,9602.0,3260.0,7919.0,2740.0,6189.0,2230.0,5114.0,7670.0,17441.0,5980.0,18688.0,3880.0,34587.0
100,101,Basic federal tax,Impôt fédéral de base,2012,15972190,116716347.0,9570.0,6903.0,15550.0,7653.0,308240.0,64913.0,752870.0,404465.0,1131650.0,992873.0,1227770.0,1703863.0,1339070.0,2564458.0,1349640.0,3357284.0,1300620.0,4028736.0,1108630.0,4203025.0,962450.0,4429183.0,838950.0,4570763.0,1374340.0,9283346.0,1054840.0,9001798.0,782680.0,8056430.0,593650.0,7170185.0,1166190.0,19641309.0,441190.0,13698367.0,214300.0,23530793.0
101,102,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012,1114640,812809.0,130.0,57.0,230.0,70.0,5240.0,261.0,16730.0,1134.0,34420.0,2237.0,44860.0,3649.0,56370.0,5096.0,63130.0,6843.0,71940.0,8673.0,64530.0,9898.0,59200.0,10964.0,55210.0,11943.0,102020.0,28055.0,87430.0,30864.0,70520.0,31069.0,58260.0,30727.0,154090.0,120615.0,95140.0,145513.0,75200.0,365140.0
102,103,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012,145510,23463.0,,,,,390.0,30.0,1230.0,127.0,3990.0,403.0,5570.0,616.0,7450.0,863.0,8470.0,1069.0,9710.0,1249.0,8890.0,1180.0,8400.0,1163.0,8110.0,1147.0,14770.0,2217.0,12060.0,1882.0,9560.0,1557.0,7740.0,1304.0,19280.0,3585.0,10950.0,2474.0,8960.0,2596.0
103,104,Investment Tax Credit,Crédit d'impôt à l'investissement,2012,40070,85777.0,,,,,400.0,37.0,710.0,207.0,860.0,345.0,1020.0,537.0,1180.0,753.0,1140.0,808.0,1280.0,982.0,1280.0,957.0,1240.0,1169.0,1160.0,1172.0,2280.0,2350.0,2140.0,2184.0,1970.0,2047.0,1800.0,1990.0,6260.0,8352.0,6080.0,11395.0,9270.0,50490.0
104,105,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012,336090,149175.0,20.0,2.0,20.0,3.0,370.0,45.0,2350.0,443.0,5820.0,1420.0,10820.0,3010.0,18370.0,5450.0,27300.0,8644.0,27660.0,9879.0,28210.0,11223.0,26950.0,11541.0,25560.0,11305.0,43020.0,20097.0,37580.0,18649.0,23720.0,12645.0,16800.0,9345.0,31780.0,19129.0,7840.0,5092.0,1890.0,1255.0
105,106,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012,34400,171283.0,70.0,1348.0,20.0,46.0,20.0,67.0,20.0,80.0,20.0,75.0,30.0,120.0,40.0,174.0,40.0,81.0,40.0,81.0,70.0,233.0,60.0,127.0,120.0,194.0,440.0,589.0,1400.0,893.0,2910.0,1808.0,3130.0,2788.0,11930.0,18043.0,7230.0,34980.0,6830.0,109555.0
106,107,Net federal tax,Impôt fédéral net,2012,15928380,115691859.0,9680.0,3638.0,15690.0,7103.0,305210.0,64647.0,748350.0,402869.0,1124460.0,988922.0,1223360.0,1696684.0,1335520.0,2552971.0,1346710.0,3340710.0,1298160.0,4008774.0,1106630.0,4180566.0,960780.0,4405087.0,837520.0,4545849.0,1372000.0,9232246.0,1053180.0,8949694.0,781430.0,8010470.0,592640.0,7128191.0,1163670.0,19495730.0,439820.0,13538958.0,213580.0,23138750.0
107,108,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012,1148600,1822585.0,20630.0,2541.0,136380.0,46396.0,171580.0,115711.0,132630.0,130357.0,105570.0,131379.0,86580.0,130184.0,73080.0,124427.0,63850.0,119309.0,59520.0,121255.0,49340.0,106566.0,37680.0,92175.0,28270.0,76959.0,41040.0,120889.0,28260.0,88701.0,20790.0,68337.0,15100.0,51253.0,38470.0,138967.0,22910.0,88220.0,16930.0,68960.0
108,109,Employment Insurance premiums payable on self-employment,Cotisations à l'assurance-emploi à payer pour le revenu d'un travail indépendant et pour d'autres re,2012,4990,1738.0,,,500.0,48.0,680.0,108.0,680.0,148.0,550.0,153.0,440.0,150.0,360.0,151.0,300.0,144.0,270.0,135.0,220.0,141.0,180.0,107.0,130.0,89.0,180.0,121.0,110.0,77.0,60.0,44.0,50.0,34.0,80.0,59.0,30.0,19.0,,
109,110,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012,488770,1337821.0,,,,,,,,,,,,,,,,,,,,,,,6160.0,1815.0,51000.0,45305.0,98650.0,88946.0,75690.0,123553.0,53900.0,125890.0,121000.0,475774.0,51060.0,290757.0,31310.0,185731.0
110,111,Net Provincial Tax,Impôt provincial ou territorial net,2012,12029270,49000546.0,5850.0,987.0,15220.0,2515.0,85610.0,17275.0,389890.0,110474.0,884630.0,388311.0,954370.0,716439.0,995040.0,1023774.0,992350.0,1311412.0,971540.0,1646231.0,835200.0,1719294.0,728040.0,1799202.0,638460.0,1839127.0,1062740.0,3695857.0,821040.0,3548230.0,636280.0,3320090.0,493190.0,3043082.0,969830.0,8573768.0,371610.0,6032655.0,178390.0,10211823.0
111,112,Total tax payable,Total à payer,2012,16944170,167860369.0,32160.0,7173.0,157690.0,56062.0,461550.0,197747.0,855100.0,643928.0,1329180.0,1508844.0,1358770.0,2543604.0,1416180.0,3701478.0,1397090.0,4771851.0,1332050.0,5776687.0,1129100.0,6006866.0,978330.0,6296940.0,847420.0,6464236.0,1384500.0,13095374.0,1059460.0,12676414.0,785040.0,11523187.0,595070.0,10348942.0,1168450.0,28685022.0,442070.0,19950748.0,214950.0,33605265.0
