,item,type,tax_year,total,< $5k,$5k - 10k,$10k - 15k,$15k - 20k,$20k - 25k,$25k - 30k,$30k - 35k,$35k - 40k,$40k - 45k,$45k - 50k,$50k - 55k,$55k - 60k,$60k - 70k,$70k - 80k,$80k - 90k,$90k - 100k,$100k - 150k,$150k - 250k,> $250k
179,Spouse or common-law partner amount,#,2010,2097360,127160,115040,174240,216920,192160,147650,128420,114090,98530,86000,75960,67440,114960,94410,75690,57450,128470,54110,28670
180,Amount for eligible dependant,#,2010,974480,73320,84340,118460,101620,85190,72440,67030,61600,51770,42550,35090,29090,44650,33330,23790,15340,24500,7370,3000
181,Amount for children 17 and under,#,2010,3762910,190950,158270,224810,224100,220350,212940,220670,223910,212180,195250,180010,163070,285680,242240,194610,144980,291990,114930,61980
182,Amount for infirm dependants age 18 or older,#,2010,13250,280,260,430,770,980,950,980,980,950,870,720,660,1010,830,630,450,960,360,190
183,CPP or QPP contributions through employment,#,2010,14605290,255220,799960,987970,1018450,1034120,1019380,1043180,1036660,958860,848200,744410,651150,1061310,833410,625300,443130,831100,283700,129820
184,CPP or QPP contributions self-employment,#,2010,1562830,31270,196460,251010,192910,152060,120170,98690,84740,76280,59300,42370,32090,46620,32080,23510,17530,46610,32290,26860
185,Employment Insurance premiums,#,2010,14665660,525620,916340,1002740,1012890,1023530,1009850,1029440,1021740,946040,834280,731440,641960,1038750,809750,602000,423820,764030,238470,92980
186,Employment Insurance premiums payable on self-employment,#,2010,3340,110,290,480,440,400,290,240,220,180,130,110,90,130,70,60,40,60,20,0
187,PPIP premiums paid,#,2010,3655750,126620,224700,258200,272960,281500,289840,307400,298190,253300,216150,183120,155290,240630,175670,106920,70870,131990,41490,20890
188,PPIP premiums payable on employment income,#,2010,109860,2570,5830,6790,6360,5820,5610,5710,5860,6360,6610,6780,6470,10170,7730,5810,4460,8070,2250,600
189,PPIP premiums payable on self-employment income,#,2010,411930,15120,44240,64680,53250,40350,30510,24020,19900,17580,13960,12140,10190,14510,8590,6010,4500,12610,10520,9230
190,Canada employment amount,#,2010,17037990,880180,1081950,1173360,1152970,1168270,1148690,1177900,1165280,1079860,942940,820660,713160,1155800,893430,664150,468890,888190,311930,150390
191,Public transit amount,#,2010,1578640,88990,105580,130450,128370,121790,109670,104110,100810,91970,81950,70460,62030,97440,75570,56470,41160,78190,24430,9220
192,Children's fitness amount,#,2010,1576820,22500,19750,32770,44340,55610,65530,77180,86810,89880,89470,87060,82440,153120,141050,120780,93700,192400,78970,43470
193,Home buyers' amount,#,2010,183470,1660,1320,2650,5110,8080,11620,15050,17180,17460,16410,15160,13240,20820,13570,8240,5260,8100,2030,520
194,Adoption expenses,#,2010,2910,30,30,50,70,90,120,140,160,170,180,170,150,310,260,220,180,350,140,90
195,Pension income amount,#,2010,4417420,28320,69730,199310,516500,566220,443750,428440,377320,358750,258740,202590,163830,253260,156440,102470,66790,137750,56600,30650
196,Caregiver amount,#,2010,197260,3740,3630,6120,10130,13230,14720,15970,16190,15310,13750,11380,10120,15760,12040,9480,6750,13020,4220,1690
197,Disability amount,#,2010,614280,29010,49830,98490,85710,73750,57610,48460,38030,30200,21910,16330,12380,17780,10240,6620,4200,8060,3500,2190
198,Disability amount transferred from a dependant,#,2010,204610,5570,4410,7010,9550,11290,12580,14270,14970,14570,13140,11630,10420,17460,14060,11110,8110,15750,5900,2830
199,Interest paid on student loans,#,2010,628130,4830,5100,17330,36210,48980,57980,63040,62130,56610,48900,42440,35940,56010,36260,21660,11930,17120,4340,1340
200,"Tuition, education, and textbook amounts",#,2010,1669920,670,1250,218850,284980,211500,168770,136790,111880,93540,76320,63950,52870,80180,55400,38420,24660,37110,9450,3340
201,"Tuition, education, and textbook amounts transferred from a child",#,2010,708330,700,660,3420,10760,19500,26030,32900,39250,41200,41000,39240,37360,68890,66420,57390,46850,104650,45480,26670
202,Amounts transferred from spouse or common-law partner,#,2010,1157120,158330,78850,157100,153680,129350,99140,79850,60530,42590,31200,24610,20260,31760,23270,17280,12310,24390,8710,3910
203,Allowable portion of medical expenses,#,2010,4224060,99750,127460,264690,510320,558260,481540,442660,373040,306730,216420,162250,123600,173160,104270,64570,44280,95540,44760,30780
204,Total tax credits on personal amounts,#,2010,25983990,2717970,2041690,2579430,2513530,1938650,1648180,1591420,1494840,1366980,1141860,974850,831880,1338390,1000300,733200,513550,993330,370960,193000
205,Allowable charitable donations and government gifts,#,2010,5940960,13490,22020,81610,209460,327380,364960,416670,434600,430830,391960,356240,321800,552900,450000,357420,268430,562320,237920,140950
206,Eligible cultural and ecological gifts,#,2010,6210,70,70,160,360,430,410,460,470,490,370,340,330,520,450,320,210,430,180,150
207,Total tax credit on donations and gifts,#,2010,5894670,12190,20910,79440,205240,322880,360500,412170,430440,427200,388840,353600,319760,549860,448180,356200,267650,561160,237640,140830
208,Total federal non-refundable tax credits,#,2010,25984610,2718050,2041720,2579470,2513560,1938680,1648240,1591460,1494870,1367010,1141880,974890,831890,1338420,1000320,733220,513560,993360,371000,193050
209,Federal dividend tax credit,#,2010,3492820,10070,8140,56960,108010,173550,192910,223610,235830,251470,218900,199640,178390,319520,253780,202080,154690,377770,195510,132000
210,Overseas employment tax credit,#,2010,8000,0,0,0,20,30,60,70,130,160,190,210,190,440,510,540,530,2370,1960,610
211,Minimum tax carryover,#,2010,36160,0,0,380,910,1360,1610,1750,1670,1700,1570,1490,1460,2990,2400,2090,1690,5470,4170,3430
212,Basic federal tax,#,2010,16207240,16860,23440,445480,917580,1284350,1356070,1443840,1412130,1315950,1109940,953120,818940,1323120,993250,729700,511580,989750,369580,192570
213,Federal foreign tax credit,#,2010,1056460,130,310,7150,19850,37580,47240,57820,63490,69310,61920,56790,52310,97020,79410,65330,52010,138120,83190,67500
214,Federal political contribution tax credit,#,2010,142560,0,0,510,1680,4510,6100,7810,8610,9840,8830,8220,7670,14230,11070,9080,6890,17630,10480,9390
215,Investment tax credit,#,2010,48520,0,0,500,940,1240,1280,1400,1450,1520,1380,1420,1380,2630,2480,2320,2230,7700,7340,11310
216,Labour-sponsored funds tax credit,#,2010,305780,20,60,520,2690,6280,11470,20140,27330,26140,26770,24910,23650,39500,31750,20300,13760,23540,5430,1530
217,Alternative minimum tax payable,#,2010,34060,80,10,20,10,30,30,40,60,60,80,90,110,470,1750,2910,2860,11170,7540,6730
218,Net federal tax,#,2010,16160020,16520,23090,440020,911270,1277190,1351680,1440370,1409420,1313810,1108160,951570,817600,1320930,991660,728460,510660,987380,368310,191930
219,CPP contributions payable on self-employment and other earnings,#,2010,1196740,23980,157770,190900,143260,114200,91560,76180,65990,59680,46890,33390,25300,36370,24940,18210,13420,34780,22110,17820
220,Employment Insurance premiums payable on self-employment,#,2010,3340,110,290,480,440,400,290,240,220,180,130,110,90,130,70,60,40,60,20,0
221,Social benefits repayment,#,2010,484840,0,0,0,0,0,0,0,0,0,10,2590,25940,82510,95290,67210,45070,97350,41990,26880
222,Net provincial or territorial tax,#,2010,12184490,9130,23540,143810,501800,996270,1041740,1071670,1047490,993950,842840,728740,630970,1035340,788560,603000,426830,826980,311100,160730
223,Total tax payable,#,2010,17166850,43060,190550,606270,1033480,1471530,1471950,1509020,1451660,1342350,1126670,965370,826030,1331490,997390,731890,512790,991840,370400,193130
224,Number of taxable returns,#,2009,17023050,44680,189510,630600,1074440,1489510,1496380,1529100,1461250,1329760,1114720,957080,807740,1298890,963210,708390,473560,922770,348990,182480
225,Number of non-taxable returns,#,2009,8745880,2707630,1873690,1924220,1426680,447910,168020,80080,44000,25170,15420,9550,6050,7120,3330,1740,1110,2480,1200,480
226,Total number of returns,#,2009,25768930,2752310,2063200,2554810,2501120,1937420,1664400,1609180,1505260,1354920,1130140,966630,813790,1306010,966540,710130,474670,925250,350200,182960
227,Employment income,#,2009,16987640,1500720,1098620,1154790,1132210,1121010,1109340,1134010,1117660,1021770,896990,788260,676020,1100400,846390,633000,424520,808000,286020,137930
228,Commissions (from employment),#,2009,463590,11000,22360,28230,28890,29150,28750,28430,28100,26700,23990,21500,19620,32610,25280,19660,15420,41560,21580,10780
229,Other employment income,#,2009,2341440,75030,98430,108130,104780,122670,139050,156420,164030,159670,143040,127070,113510,198410,155780,112140,80630,175380,71530,35750
230,Old Age Security pension,#,2009,4441190,72020,149430,567510,1001810,576630,383990,339240,270400,232450,159980,122430,97660,152300,85950,53620,34070,75200,38620,27860
231,CPP or QPP benefits,#,2009,5942900,137790,313890,685130,1097290,703100,508990,461410,388250,341540,248210,193340,154610,231860,135170,84760,54470,115220,53310,34550
232,Other pensions or superannuation,#,2009,3687260,18820,44010,127100,400110,485270,387640,373660,328850,300650,223620,176430,142820,215600,128960,82410,54270,118560,52550,25940
233,Elected split-pension amount,#,2009,1008360,11940,30800,87440,147870,125730,93690,106810,87700,98510,42050,26790,22470,45210,26210,17930,9760,18090,6170,3210
234,Universal Child Care Benefit,#,2009,1688420,381450,166890,185760,151060,129000,116000,105180,91310,74590,59720,48020,37400,52450,33390,21940,11490,16830,4650,1300
235,Employment Insurance benefits,#,2009,3001210,45100,128330,265750,345860,364170,357380,322010,269440,213840,163580,124120,94190,128550,76210,40850,22580,31220,6750,1310
236,Taxable amount of dividends,#,2009,3943840,102460,93250,154480,223250,231870,220280,238000,246020,253570,219560,199970,178690,313780,248550,197400,148090,361660,186440,126530
237,Interest and other investment income,#,2009,7438660,377990,316650,477780,688260,598610,503690,497890,474610,451150,374600,327680,283330,475650,359470,274040,193500,427300,200540,135920
238,Net partnership income,#,2009,205330,7230,2450,3120,4540,5780,6120,6890,7500,8780,7980,7640,7360,14640,12610,10900,9100,29240,23940,29520
239,RDSP income,#,2009,80,10,10,20,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0
240,Net rental income,#,2009,1332670,54870,51600,72980,90220,91230,84430,85350,84920,81230,72070,64030,56900,96590,75220,59050,42760,95910,44630,28690
241,Taxable capital gains,#,2009,1205440,34730,33350,46730,62430,65920,62240,66200,67130,70340,61560,56220,51270,92340,74580,60390,46790,122370,72100,58760
242,Support payments received,#,2009,105880,5560,8170,11570,12600,11410,9190,8240,7240,5850,4980,3960,3110,4600,2980,1940,1290,2330,650,230
243,Registered Retirement Savings Plan income,#,2009,2339120,79090,75610,113610,147640,166110,167340,180150,184430,177200,153950,134180,116700,185580,134110,95960,63550,115700,35820,12400
244,Other income,#,2009,4399040,220050,257540,293660,306490,294210,272730,278930,274290,266370,223360,194670,170100,289680,224420,171890,125170,290410,147110,97970
245,Net business income,#,2009,1963610,175110,216680,258290,209080,166330,133890,113930,99710,88580,72390,60890,51590,81710,59620,43920,30110,62490,25010,14280
246,Net professional income,#,2009,319240,13840,17230,20670,18160,15720,14030,12820,12130,11870,10870,9940,9460,17470,15280,12960,10690,34910,31070,30130
247,Net commission income,#,2009,200840,16750,17950,20440,18330,15630,13240,12070,10840,9800,8140,7160,6130,10040,7550,5790,4210,10140,4710,1930
248,Net farming income,#,2009,367590,27620,24950,36320,32920,28020,24050,23070,20980,20660,16230,13790,11770,20080,14920,11370,7860,18460,8570,5960
249,Net fishing income,#,2009,29840,1180,1470,2770,3740,4200,3700,2900,2370,1780,1260,910,730,960,560,370,220,460,170,90
250,Workers' compensation benefits,#,2009,636380,9210,19820,40590,61370,73480,71560,67470,60070,49410,40560,31160,24710,33290,19900,12700,7520,10610,2320,660
251,Social assistance payments,#,2009,1508820,117400,418640,519360,251570,110050,41240,19850,10960,6400,3980,2530,1710,1950,1040,650,380,710,250,160
252,Net federal supplements,#,2009,1845780,35720,129380,490180,800460,271490,60080,25860,13250,6380,3420,2120,1540,2020,1020,630,460,990,490,310
253,Total income assessed,#,2009,25526020,2509400,2063200,2554810,2501120,1937420,1664400,1609180,1505260,1354920,1130140,966630,813790,1306010,966540,710130,474670,925250,350200,182960
254,Registered pension plan contributions,#,2009,4613410,21290,38170,60500,92670,135290,190440,274000,346650,362620,360360,348750,317470,544360,451930,358900,228590,362080,91460,27900
255,Registered Retirement Savings Plan deduction,#,2009,6171340,27520,36040,86750,158140,228490,299490,380290,443000,459640,443130,413270,369240,633470,521900,409080,292260,606800,239520,123320
256,Saskatchewan Pension Plan deduction,#,2009,10630,290,360,610,700,760,860,820,950,820,690,600,450,770,590,420,260,470,160,50
257,Deduction for elected split-pension amount,#,2009,1008940,490,1510,4160,15770,58700,82680,95250,104320,102350,91800,77320,62620,90360,60050,39150,26930,58590,25960,10930
258,"Annual union, professional, or like dues",#,2009,5616720,131820,198350,222950,236620,270040,314340,372740,417610,410090,388280,364360,326270,549960,447190,340230,208000,316500,77320,24070
259,Universal Child Care Benefit repayment,#,2009,10740,2840,1740,1910,1160,690,490,420,300,220,190,170,110,180,130,100,40,70,10,10
260,Child care expenses,#,2009,1221640,35360,52750,74100,91510,101610,109030,111940,105980,91760,77670,65300,53350,80270,56250,38780,22790,37300,11600,4300
261,Disability supports deductions,#,2009,1400,30,50,90,110,130,110,100,100,80,80,50,50,90,50,70,40,90,30,30
262,Business investment loss,#,2009,12060,370,260,340,430,570,580,650,630,690,610,590,530,960,820,670,530,1400,830,620
263,Moving expenses,#,2009,110080,4020,6970,8460,9040,9090,9010,7830,7180,6440,5620,4990,4470,7170,5250,3870,2750,5380,1940,600
264,Support payments made,#,2009,89480,760,800,1410,1950,2760,3480,4210,4730,4870,4850,4790,4330,8000,7080,6030,4860,12410,6890,5300
265,Carrying charges and interest expenses,#,2009,2568100,36590,39910,73630,136210,157480,151670,161480,165240,165610,146610,133020,118440,207240,166010,134400,101390,247460,129310,96400
266,Deductions for CPP or QPP contributions on self-employment and other earnings,#,2009,1538130,32990,194100,247270,191320,148820,118250,97620,83960,73930,56240,40650,30880,45560,31170,23090,16790,45940,32320,27240
267,Deduction for PPIP premiums on self-employment income,#,2009,395550,14760,43940,62500,51770,38630,29030,22870,19000,16060,13330,11100,9420,13350,7940,5720,4140,12140,10580,9270
268,Exploration and development expenses,#,2009,82380,620,380,530,900,1340,1580,1800,2060,2490,2440,2640,2620,5200,4860,4480,3810,13800,12910,17940
269,Other employment expenses,#,2009,836320,3470,6100,12170,21470,30290,38950,46080,50970,54520,54750,52990,49970,86920,68470,55500,43010,98570,42280,19870
270,Clergy residence deduction,#,2009,28580,80,170,340,680,1040,1800,2370,2400,2690,2630,2680,2410,3730,2290,1270,770,1010,180,30
271,Other deductions,#,2009,860360,33420,37030,60320,80910,86320,82640,76340,66900,55660,43950,35130,28220,42620,29710,21090,14860,32920,17830,14510
272,Total deductions before adjustments,#,2009,14014800,294950,515780,680980,778280,868220,924130,1011860,1054480,1012310,906310,805750,696640,1141780,876090,655750,441180,857900,324070,168350
273,Social benefits repayment,#,2009,426910,0,0,0,0,0,0,0,0,0,0,6340,28310,77910,84630,56240,36680,78500,35560,22730
274,Net income after adjustments,#,2009,25416510,2406870,2060920,2553640,2500450,1936920,1664030,1608870,1505020,1354720,1129980,966500,813700,1305840,966400,710040,474600,925050,350080,182890
275,Canadian Forces personnel and police deduction,#,2009,12650,10,10,30,20,40,50,70,120,330,450,1150,1350,3230,2190,1360,830,1220,150,30
276,Employee home relocation loan deduction,#,2009,1750,10,10,10,10,10,10,10,20,20,20,20,20,90,90,120,140,550,400,210
277,Security options deductions,#,2009,34310,70,90,160,170,220,250,370,520,600,670,650,760,1570,1630,1610,1700,7140,7120,9020
278,Other payments deductions,#,2009,3710200,159990,553770,990400,986080,404000,159240,108210,81760,60830,47080,35300,27600,36810,21740,13830,8230,11830,2650,860
279,Limited partnership losses of other years,#,2009,2340,10,10,10,20,30,20,30,50,60,60,70,70,140,140,130,110,400,360,650
280,Non-capital losses of other years,#,2009,33630,2270,1190,4270,4970,4210,3320,2630,1960,1560,1290,930,770,1110,710,520,320,810,430,380
281,Net capital losses of other years,#,2009,272780,2000,2320,4800,7980,11520,12130,13910,14600,16010,14490,13520,12580,23290,19330,15670,12830,35620,21940,18270
282,Capital gains deduction,#,2009,56150,410,390,870,1260,1550,1910,2110,2160,2260,2280,2250,2160,4440,3440,2940,2410,7640,6980,8720
283,Northern residents deductions,#,2009,247710,2400,3470,7840,13080,14600,14760,14060,13580,13310,12150,11590,11040,19990,18410,16340,13000,31320,14220,2580
284,Additional deductions,#,2009,194440,4980,6620,16620,29880,30890,20420,16910,13470,11140,7790,5700,4750,7210,4600,3180,2140,4550,2340,1260
285,Farming/fishing losses of prior years,#,2009,12530,270,180,900,1140,1130,1090,860,820,740,580,520,500,820,550,460,350,870,440,290
286,Total deductions from net income,#,2009,4468740,171400,564840,1013390,1018700,447350,205590,154160,125070,103720,84270,69580,59640,95480,70480,54380,40580,97960,53540,38630
287,Taxable income assessed,#,2009,24776550,2329330,1820410,2307390,2462930,1918840,1656880,1604550,1502060,1352970,1128760,966090,813340,1305440,966120,709820,474440,924620,349800,182780
288,Basic personal amount,#,2009,25724480,2728090,2059410,2552140,2499230,1935870,1663250,1608190,1504430,1354310,1129510,966140,813410,1305300,965990,709700,474280,924060,349180,182000
289,Age amount,#,2009,4559780,109260,190760,605370,1029790,600280,407450,360960,291450,249250,173770,133690,106900,165830,83370,26560,11650,10770,1800,870
290,Spouse or common-law partner amount,#,2009,2081850,123830,116170,175910,215550,188440,148330,130820,115650,99240,86390,76440,67060,114900,93720,74260,55000,121110,51440,27610
291,Amount for eligible dependant,#,2009,961920,71360,81150,116350,102300,85240,73470,68570,62210,51570,42290,34760,28490,43720,31840,23010,13850,22450,6600,2700
292,Amount for children 17 and under,#,2009,3746580,189010,158330,225020,228970,223760,221050,229340,229970,215230,196620,181310,162540,283910,237460,190650,134030,271940,108150,59270
293,Amount for infirm dependants age 18 or older,#,2009,13070,280,260,430,760,990,1000,1010,1010,900,780,760,620,1070,740,620,420,870,370,190
294,CPP or QPP contributions through employment,#,2009,15192820,553490,909050,1056140,1069620,1065360,1058020,1083610,1070070,976360,859960,756690,649720,1058750,819890,616040,413280,781270,271090,124410
295,CPP or QPP contributions self-employment,#,2009,1538130,32990,194100,247270,191320,148820,118250,97620,83960,73930,56240,40650,30880,45560,31170,23090,16790,45940,32320,27240
296,Employment Insurance premiums,#,2009,14615180,545350,948260,1007020,1021760,1025130,1027560,1052320,1038810,948220,833090,733030,631170,1021740,786380,587540,390330,707640,224420,85430
297,Provincial Parental Insurance Plan (PPIP) premiums paid,#,2009,3623110,130330,231690,260490,278440,283840,294960,309050,296200,247800,210750,179130,149530,234470,167900,101830,66980,121010,39400,19310
298,PPIP premiums payable on employment income,#,2009,110090,2670,5990,6740,6490,6010,5900,6150,6100,6010,6290,6620,6310,10530,7650,5830,4340,7890,1990,580
299,PPIP premiums payable on self-employment income,#,2009,398130,14960,44150,62820,52070,38880,29240,23060,19180,16230,13470,11210,9510,13450,7980,5740,4150,12170,10590,9270
300,Canada employment amount,#,2009,17003780,931380,1123800,1181280,1164940,1172130,1167900,1200080,1181620,1078120,938700,819710,699850,1134120,866710,646100,433330,826820,294620,142600
301,Public transit amount,#,2009,1528690,81140,101440,123610,124210,117350,108520,104560,101020,90880,79910,70170,60010,95220,73180,54030,39110,73460,22730,8160
302,Children's fitness amount,#,2009,1528760,19120,17730,30190,43560,54970,65740,78770,88160,89810,88440,86500,81700,151570,137740,117820,85060,177360,74020,40520
303,Home renovation expenses,#,2009,3174410,10330,11640,34570,81200,124300,153700,187430,208560,215840,207880,198110,183030,328370,275110,223870,161530,343800,144730,80430
304,Home buyers' amount,#,2009,203580,1550,1330,2900,5750,9320,13160,17130,19320,19770,18430,16990,14860,22860,14980,9340,5320,8040,1940,600
305,Adoption expenses,#,2009,3100,40,40,50,80,100,130,150,160,170,180,190,150,330,270,240,170,390,180,90
306,Pension income amount,#,2009,4299010,28290,69480,199020,504860,566020,442720,423380,369980,343360,247410,192730,155800,237170,144970,94420,62070,131940,57110,28290
307,Caregiver amount,#,2009,188460,3830,3560,6190,10160,13180,14910,15750,15770,14870,13060,10940,9270,14360,11200,8640,5850,11600,3810,1490
308,Disability amount,#,2009,585780,27690,47390,93440,82270,72740,56270,46250,36360,28530,20630,15280,11580,15910,9380,5950,3800,7370,3100,1840
309,Disability amount transferred from a dependant,#,2009,193500,5590,4330,6760,9130,10880,12490,14010,14410,13930,12370,11100,9710,16250,13030,10340,7120,14050,5430,2570
310,Interest paid on student loans,#,2009,643350,4990,5460,18240,37660,50540,60250,65770,65010,58440,50720,44160,37340,56520,35610,20600,11180,15680,3950,1250
311,"Tuition, education, and textbook amounts",#,2009,1628680,600,1320,210480,264650,197100,160280,135410,113840,94680,78030,66030,54480,81580,56450,39230,23880,37230,9830,3610
312,"Tuition, education, and textbook amounts transferred from a child",#,2009,688930,640,680,3460,11270,19160,26200,33130,38960,40780,40190,38720,36000,68180,64710,56800,43270,98120,43470,25230
313,Amounts transferred from spouse or common-law partner,#,2009,1170840,150600,80010,157950,165920,135990,102130,81610,61520,41750,30860,24500,19790,31230,22790,17110,11620,23160,8520,3790
314,Allowable portion of medical expenses,#,2009,4065660,97020,124880,263620,504600,552530,472680,427230,354570,287280,200950,150640,113750,160140,96800,60430,40190,88250,41550,28570
315,Total tax credits on personal amounts,#,2009,25732240,2729690,2060600,2552880,2499730,1936260,1663570,1608490,1504670,1354490,1129660,966300,813530,1305540,966130,709840,474410,924490,349550,182410
316,Allowable charitable donations and government gifts,#,2009,5800930,13840,22880,81650,207400,323070,362610,414460,433700,424780,385800,353310,315270,540750,439310,348650,248300,525170,226000,133980
317,Eligible cultural and ecological gifts,#,2009,5950,70,90,170,310,390,410,410,440,410,390,330,330,540,440,300,210,440,160,140
318,Total tax credit on donations and gifts,#,2009,5752400,12390,21470,79290,203190,318240,357930,409730,429300,421020,382640,350650,313310,537770,437340,347410,247540,523870,225480,133840
319,Total federal non-refundable tax credits,#,2009,25732890,2729790,2060650,2552920,2499760,1936290,1663610,1608540,1504700,1354520,1129700,966310,813560,1305570,966150,709860,474420,924530,349580,182470
320,Federal dividend tax credit,#,2009,3463770,11010,9000,59360,109870,173740,194520,226780,241370,252290,219600,200750,179730,315680,250330,198610,148870,362350,185330,124590
321,Basic federal tax,#,2009,15960820,17860,26090,466630,929390,1273920,1360380,1451430,1415080,1300400,1096620,944630,800340,1290300,958790,706050,472270,920570,348180,181930
322,Net federal tax,#,2009,15914430,17450,25760,460940,923490,1267580,1356120,1448130,1412330,1298230,1094840,943060,799110,1288240,957170,704740,471240,917930,346810,181270
323,CPP contributions on self-employment,#,2009,1181850,25480,155010,188440,142470,112280,90670,75940,65880,58570,44620,32350,24350,35780,24440,17950,12990,34410,22050,18190
324,Net provincial or territorial tax,#,2009,12243660,9090,23370,193390,577250,1042200,1074520,1099310,1066140,994900,841620,728770,621040,1012450,764760,586100,392550,770880,293010,152320
325,Total tax payable,#,2009,17023050,44680,189510,630600,1074440,1489510,1496380,1529100,1461250,1329760,1114720,957080,807740,1298890,963210,708390,473560,922770,348990,182480
326,Number of taxable returns,$,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,Number of non-taxable returns,$,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,Total number of returns,$,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,Employment income,$,2011,719683834000,2063034000,6332301000,10902138000,15023195000,19870091000,24025550000,29574115000,34877358000,37174433000,37331558000,36829328000,35401744000,66282663000,61827121000,52414061000,43825914000,99494846000,49443773000,56990612000
330,Commissions (from employment),$,2011,13680666000,9627000,19825000,44314000,76075000,115022000,157018000,197493000,242304000,281365000,313520000,341902000,351624000,711132000,691136000,662620000,626535000,2344557000,2352136000,4142462000
331,Other employment income,$,2011,10460170000,100492000,264855000,348211000,362362000,425389000,476275000,515126000,514897000,494127000,452409000,390481000,349757000,608888000,490289000,387030000,320357000,1022538000,853777000,2082911000
332,Old Age Security pension,$,2011,28545504000,78413000,703701000,2735346000,6367082000,3925626000,2533473000,2278977000,1877701000,1683150000,1175184000,904722000,730101000,1167024000,679397000,422890000,269655000,568609000,268292000,176160000
333,CPP or QPP benefits,$,2011,40931856000,252313000,1121330000,2815460000,6143851000,5294038000,3831767000,3582658000,3118608000,2855453000,2129735000,1693007000,1373457000,2120313000,1282549000,814359000,524930000,1108337000,517085000,352607000
334,Other pensions or superannuation,$,2011,74888121000,49096000,111271000,359373000,1307516000,3080318000,4006003000,5256841000,6003784000,6840392000,6181592000,5599545000,4954150000,8223323000,5545369000,3785092000,2562447000,5808634000,2873213000,2340162000
335,Elected split-pension amount,$,2011,11468738000,28177000,113131000,479619000,1060409000,1160485000,1065844000,1382777000,1254531000,1516922000,629356000,384763000,346170000,791335000,446501000,302975000,139142000,260057000,76764000,29780000
336,Universal Child Care Benefit,$,2011,2526658000,614163000,243537000,259365000,212166000,177375000,159113000,144945000,130190000,111740000,91583000,74806000,60430000,86656000,57065000,36971000,23509000,31364000,9295000,2385000
337,Employment Insurance and other benefits,$,2011,17391059000,96260000,455462000,1211217000,1914671000,2246644000,2305403000,2050431000,1653088000,1318175000,995098000,753494000,572189000,746427000,427895000,246113000,142983000,207983000,38410000,9116000
338,Taxable amount of dividends from taxable Canadian corporations,$,2011,56218819000,75855000,84585000,165828000,298222000,437291000,593251000,779384000,1039174000,1276627000,1304406000,1484857000,1356516000,2955691000,2695229000,2489055000,2088138000,7937290000,7743538000,21413882000
339,Interest and other investment income,$,2011,14987759000,187183000,225703000,381183000,676874000,769593000,695211000,723722000,700902000,737401000,604454000,540721000,497188000,915128000,725108000,598610000,472655000,1428045000,1188342000,2919736000
340,Net partnership income,$,2011,79322000,-51337000,-188000,-939000,-632000,-1736000,-290000,-459000,39000,651000,-98000,127000,-1250000,1878000,670000,1821000,2424000,10492000,19801000,98346000
341,Registered disability savings plan income,$,2011,178000,9000,13000,34000,13000,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,Net rental income,$,2011,4388232000,-144880000,98140000,157306000,189027000,206712000,189478000,184158000,180157000,185151000,159607000,149696000,140639000,253871000,209935000,180029000,148837000,477076000,414272000,1009021000
343,Taxable capital gains,$,2011,18511924000,71641000,64511000,97646000,134901000,172566000,189813000,217930000,241157000,275301000,274656000,279003000,283493000,605144000,564740000,535657000,488283000,1910317000,2331860000,9773305000
344,Support payments received,$,2011,1109600000,5969000,23050000,46874000,64498000,78153000,71237000,72250000,67536000,61412000,56727000,50914000,44232000,83555000,64365000,46116000,41490000,118372000,67190000,45660000
345,Registered Retirement Savings Plan income,$,2011,13019591000,97440000,173775000,337755000,462763000,587682000,631772000,722131000,770815000,826898000,713015000,661720000,617455000,1105695000,867991000,689511000,523926000,1426304000,855525000,947418000
346,Other income,$,2011,18049510000,239939000,572031000,735041000,683801000,654291000,619856000,642384000,677075000,699372000,604402000,543466000,495793000,911831000,782001000,673821000,574488000,2032685000,1904637000,4002595000
347,Net business income,$,2011,25247502000,-591134000,1139045000,2115675000,2069778000,1917496000,1751499000,1535344000,1385492000,1267502000,1083138000,960187000,851311000,1461342000,1170989000,946521000,749725000,2151204000,1426572000,1855817000
348,Net professional income,$,2011,19262319000,-25511000,87016000,167431000,180995000,186552000,188708000,188319000,193792000,202465000,198915000,204650000,205652000,428665000,421562000,441330000,428641000,2078371000,3680053000,9804714000
349,Net commission income,$,2011,4106684000,-10472000,69420000,130529000,138190000,148922000,149512000,151514000,151534000,159164000,146615000,148123000,136705000,264217000,241556000,221618000,194370000,665688000,565791000,433687000
350,Net farming income,$,2011,2021105000,-301710000,25883000,107936000,91696000,97516000,102684000,127732000,118851000,180819000,110311000,101854000,84762000,173024000,128708000,115092000,83753000,273222000,202589000,196384000
351,Net fishing income,$,2011,485885000,-10146000,1244000,4644000,12329000,21516000,26967000,30858000,35332000,39967000,32997000,32823000,30129000,49580000,35053000,27110000,18817000,54596000,25873000,16196000
