,item,type,tax_year,total,< $5k,$5k - 10k,$10k - 15k,$15k - 20k,$20k - 25k,$25k - 30k,$30k - 35k,$35k - 40k,$40k - 45k,$45k - 50k,$50k - 55k,$55k - 60k,$60k - 70k,$70k - 80k,$80k - 90k,$90k - 100k,$100k - 150k,$150k - 250k,> $250k
239,Net partnership income,#,2010,201510.0,7230.0,2180.0,2830.0,4300.0,5430.0,5770.0,6720.0,7300.0,8420.0,7720.0,7490.0,7140.0,14470.0,12430.0,10890.0,9240.0,29100.0,23510.0,29330.0
240,Registered disability savings plan (RDSP) income,#,2010,180.0,20.0,30.0,60.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,Net rental income,#,2010,1379350.0,56020.0,52080.0,73780.0,91130.0,91650.0,84960.0,86060.0,84690.0,83950.0,73180.0,66330.0,58990.0,100930.0,80310.0,63510.0,46580.0,105500.0,49020.0,30680.0
242,Taxable capital gains,#,2010,1843400.0,52520.0,48050.0,69050.0,93090.0,100650.0,94790.0,100630.0,102620.0,109410.0,95600.0,86730.0,79610.0,143720.0,115700.0,93970.0,73970.0,189860.0,108260.0,85170.0
243,Support payments received,#,2010,88600.0,3480.0,6170.0,9170.0,10530.0,9570.0,7830.0,6890.0,6210.0,5190.0,4280.0,3530.0,2820.0,4100.0,2630.0,1800.0,1220.0,2280.0,700.0,230.0
244,Registered Retirement Savings Plan (RRSP) income,#,2010,2341470.0,74730.0,71920.0,110480.0,142750.0,160560.0,162090.0,174420.0,180520.0,177460.0,154690.0,135990.0,118390.0,191820.0,138980.0,99900.0,68230.0,125180.0,39350.0,14030.0
245,Other income,#,2010,4280410.0,215880.0,256120.0,292350.0,298220.0,283440.0,257440.0,263120.0,258160.0,256070.0,215480.0,186300.0,164140.0,281720.0,220680.0,171680.0,127580.0,290570.0,142900.0,98550.0
246,Net business income,#,2010,1998700.0,171950.0,221000.0,264020.0,211790.0,169100.0,134910.0,114190.0,99660.0,89950.0,73610.0,61840.0,52610.0,84570.0,61980.0,45950.0,32360.0,66980.0,26920.0,15340.0
247,Net professional income,#,2010,326640.0,14190.0,18050.0,22110.0,19220.0,16520.0,14410.0,13200.0,12340.0,12180.0,11160.0,10420.0,9710.0,17660.0,15510.0,13090.0,10850.0,35360.0,31030.0,29650.0
248,Net commission income,#,2010,206790.0,15830.0,17620.0,20820.0,18570.0,16000.0,13910.0,12370.0,11200.0,10430.0,8770.0,7340.0,6320.0,10590.0,7950.0,6160.0,4550.0,10870.0,5270.0,2240.0
249,Net farming income,#,2010,359460.0,25090.0,22900.0,36520.0,32110.0,26630.0,23490.0,22290.0,20340.0,20890.0,16260.0,13850.0,11730.0,19990.0,14890.0,11250.0,8020.0,18860.0,8650.0,5720.0
250,Net fishing income,#,2010,29480.0,1000.0,1340.0,2520.0,3370.0,3840.0,3540.0,2810.0,2250.0,2000.0,1360.0,1130.0,880.0,1210.0,710.0,470.0,270.0,560.0,180.0,70.0
251,Workers' compensation benefits,#,2010,630460.0,8780.0,18490.0,38490.0,60300.0,72420.0,70600.0,66380.0,59280.0,49300.0,40300.0,31340.0,24940.0,33740.0,20520.0,13270.0,8070.0,11420.0,2220.0,620.0
252,Social assistance payments,#,2010,1573530.0,116740.0,435040.0,542570.0,265750.0,116380.0,43270.0,20910.0,11580.0,6790.0,4310.0,2730.0,1820.0,2200.0,1150.0,690.0,420.0,760.0,260.0,150.0
253,Net federal supplements,#,2010,1852110.0,36160.0,130650.0,496760.0,812400.0,252030.0,59190.0,27090.0,15060.0,7960.0,4040.0,2440.0,1670.0,2310.0,1190.0,710.0,520.0,1060.0,560.0,340.0
254,Total income assessed,#,2010,25777210.0,2496770.0,2044140.0,2581350.0,2514850.0,1939670.0,1649090.0,1592150.0,1495420.0,1367490.0,1142340.0,975280.0,832210.0,1338910.0,1000750.0,733570.0,513860.0,994180.0,371600.0,193570.0
255,Registered pension plan (RPP) contributions,#,2010,4647970.0,19830.0,36370.0,58220.0,88310.0,129550.0,182100.0,264800.0,341200.0,360270.0,357790.0,341600.0,323710.0,548640.0,463010.0,358510.0,252830.0,391980.0,99140.0,30140.0
256,RRSP deduction,#,2010,6141930.0,26920.0,34490.0,81960.0,147720.0,217400.0,283020.0,360170.0,422810.0,446760.0,434980.0,406210.0,369010.0,635460.0,527980.0,416060.0,309520.0,644450.0,249310.0,127720.0
257,Saskatchewan Pension Plan (SPP) deduction,#,2010,1980.0,60.0,80.0,130.0,150.0,160.0,180.0,170.0,160.0,140.0,120.0,110.0,90.0,120.0,100.0,80.0,40.0,70.0,30.0,0.0
258,Deduction for elected split-pension amount,#,2010,1070530.0,450.0,1600.0,4500.0,16290.0,61200.0,85120.0,99170.0,108430.0,108120.0,99000.0,83360.0,67150.0,98110.0,66160.0,43300.0,29740.0,62600.0,24740.0,11490.0
259,"Annual union, professional, or like dues",#,2010,5632390.0,124320.0,187050.0,219500.0,232310.0,263070.0,303950.0,361270.0,411840.0,408440.0,386420.0,357740.0,330540.0,554110.0,458910.0,344860.0,233430.0,347410.0,81610.0,25620.0
260,Universal Child Care Benefit repayment,#,2010,12720.0,3270.0,2000.0,2170.0,1310.0,810.0,620.0,540.0,440.0,330.0,240.0,190.0,150.0,220.0,160.0,110.0,70.0,80.0,20.0,0.0
261,Child care expenses,#,2010,1240780.0,35810.0,52570.0,73470.0,89820.0,100850.0,107060.0,111580.0,107100.0,93260.0,79790.0,67110.0,55050.0,83590.0,59540.0,40350.0,25830.0,40500.0,12770.0,4740.0
262,Disability supports deductions,#,2010,1260.0,30.0,50.0,90.0,120.0,110.0,90.0,100.0,100.0,80.0,70.0,50.0,50.0,80.0,50.0,30.0,40.0,80.0,20.0,30.0
263,Business investment loss,#,2010,11260.0,350.0,210.0,310.0,400.0,500.0,560.0,610.0,570.0,610.0,590.0,590.0,490.0,870.0,790.0,690.0,520.0,1320.0,760.0,530.0
264,Moving expenses,#,2010,108900.0,3660.0,6360.0,8230.0,8750.0,8960.0,8630.0,7820.0,7010.0,6360.0,5630.0,4930.0,4390.0,7390.0,5420.0,4050.0,2950.0,5860.0,1910.0,590.0
265,Support payments made,#,2010,78420.0,570.0,620.0,1010.0,1450.0,2160.0,2760.0,3180.0,3560.0,3910.0,3750.0,3890.0,3600.0,7050.0,6220.0,5400.0,4670.0,12280.0,6880.0,5460.0
266,Carrying charges and interest expenses,#,2010,2482510.0,34140.0,35610.0,68490.0,126720.0,145390.0,140090.0,151260.0,153940.0,157780.0,139690.0,127210.0,114930.0,202590.0,163190.0,132560.0,102210.0,252610.0,133060.0,101030.0
267,Deductions for CPP or QPP contributions on self-employment and other earnings,#,2010,1562830.0,31270.0,196460.0,251010.0,192910.0,152060.0,120170.0,98690.0,84740.0,76280.0,59300.0,42370.0,32090.0,46620.0,32080.0,23510.0,17530.0,46610.0,32290.0,26860.0
268,Deduction for provincial parental insurance plan (PPIP) premiums on self-empl,#,2010,407250.0,14930.0,43940.0,64190.0,52710.0,39920.0,30120.0,23670.0,19540.0,17300.0,13680.0,11900.0,9950.0,14300.0,8490.0,5970.0,4480.0,12530.0,10470.0,9190.0
269,Exploration and development expenses,#,2010,84250.0,500.0,290.0,440.0,740.0,1110.0,1250.0,1500.0,1750.0,2160.0,2240.0,2320.0,2350.0,4970.0,4630.0,4420.0,4040.0,14590.0,14020.0,20950.0
270,Other employment expenses,#,2010,831500.0,3680.0,6070.0,11710.0,20140.0,28910.0,36480.0,43420.0,47780.0,51670.0,52610.0,51800.0,48990.0,86390.0,68730.0,55680.0,44600.0,105740.0,45210.0,21890.0
271,Clergy residence deduction,#,2010,28310.0,70.0,180.0,390.0,600.0,1020.0,1680.0,2290.0,2300.0,2540.0,2600.0,2570.0,2380.0,3860.0,2410.0,1320.0,800.0,1090.0,180.0,40.0
272,Other deductions,#,2010,851900.0,30400.0,35350.0,57370.0,78740.0,84380.0,80520.0,75420.0,66590.0,56200.0,44580.0,35540.0,28950.0,43880.0,30240.0,21560.0,15200.0,33820.0,18090.0,15080.0
273,Total deductions before adjustments,#,2010,14046830.0,281170.0,500940.0,670650.0,757060.0,847920.0,896470.0,983730.0,1034070.0,1007140.0,906420.0,803860.0,707570.0,1160740.0,900710.0,672370.0,476320.0,919100.0,342840.0,177760.0
274,Social benefits repayment,#,2010,484840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2590.0,25940.0,82510.0,95290.0,67210.0,45070.0,97350.0,41990.0,26880.0
275,Net income after adjustments,#,2010,25671130.0,2398040.0,2041820.0,2580130.0,2514070.0,1939130.0,1648700.0,1591810.0,1495180.0,1367290.0,1142190.0,975140.0,832100.0,1338740.0,1000630.0,733460.0,513780.0,993980.0,371450.0,193490.0
276,Canadian Forces personnel and police deduction,#,2010,14390.0,10.0,20.0,20.0,20.0,40.0,60.0,90.0,150.0,390.0,870.0,950.0,2120.0,3880.0,2210.0,1220.0,760.0,1360.0,180.0,40.0
277,Employee home relocation loan deduction,#,2010,1540.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,20.0,30.0,60.0,60.0,110.0,120.0,480.0,400.0,210.0
278,Security options deductions,#,2010,49970.0,90.0,120.0,190.0,250.0,340.0,350.0,430.0,570.0,710.0,790.0,970.0,1090.0,2200.0,2300.0,2220.0,2190.0,10110.0,11130.0,13930.0
279,Other payments deductions,#,2010,3769730.0,159350.0,570090.0,1016690.0,1006010.0,390720.0,160000.0,109420.0,83350.0,62590.0,47780.0,35990.0,28070.0,37770.0,22580.0,14490.0,8850.0,12660.0,2540.0,800.0
280,Limited partnership losses of other years,#,2010,1770.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,40.0,60.0,60.0,40.0,60.0,110.0,90.0,100.0,100.0,330.0,280.0,410.0
281,Non-capital losses of other years,#,2010,36410.0,2740.0,1290.0,4330.0,5090.0,4610.0,3590.0,2790.0,2230.0,1720.0,1330.0,1020.0,830.0,1240.0,870.0,520.0,400.0,910.0,500.0,410.0
282,Net capital losses of other years,#,2010,539800.0,3600.0,3910.0,8760.0,15810.0,23500.0,25080.0,28410.0,29920.0,32770.0,29840.0,27170.0,25330.0,47170.0,38590.0,31720.0,25310.0,68860.0,40850.0,33210.0
283,Capital gains deduction,#,2010,58800.0,410.0,360.0,860.0,1280.0,1510.0,1860.0,2120.0,2200.0,2520.0,2440.0,2260.0,2180.0,4570.0,3530.0,3090.0,2600.0,8090.0,7360.0,9550.0
284,Northern residents deductions,#,2010,250290.0,2410.0,3450.0,7770.0,12640.0,13890.0,13970.0,13650.0,13190.0,12800.0,11860.0,11420.0,10860.0,20170.0,18260.0,16100.0,13720.0,34710.0,16700.0,2740.0
285,Additional deductions,#,2010,203290.0,6020.0,9070.0,20060.0,33640.0,29780.0,19670.0,16450.0,13040.0,10780.0,7790.0,5760.0,4660.0,7330.0,4720.0,3150.0,2220.0,5040.0,2630.0,1510.0
286,Farming/fishing losses of prior years,#,2010,13260.0,250.0,180.0,960.0,1160.0,1180.0,1110.0,960.0,870.0,740.0,640.0,620.0,490.0,820.0,660.0,490.0,410.0,940.0,470.0,320.0
287,Total deductions from net income,#,2010,4800620.0,173540.0,584460.0,1045840.0,1045720.0,445350.0,216950.0,167840.0,140270.0,120550.0,99710.0,83080.0,72870.0,120490.0,90280.0,70370.0,54360.0,136450.0,76490.0,55980.0
288,Taxable income assessed,#,2010,24990310.0,2318520.0,1784880.0,2317010.0,2473460.0,1919660.0,1641230.0,1587180.0,1492000.0,1365450.0,1140890.0,974730.0,831780.0,1338280.0,1000310.0,733250.0,513640.0,993500.0,371170.0,193370.0
289,Basic personal amount,#,2010,25976080.0,2716670.0,2040550.0,2578710.0,2512970.0,1938200.0,1647830.0,1591110.0,1494570.0,1366750.0,1141680.0,974680.0,831740.0,1338160.0,1000100.0,733050.0,513410.0,992890.0,370510.0,192500.0
290,Age amount,#,2010,4673370.0,112180.0,196190.0,620240.0,1049800.0,596810.0,408830.0,366160.0,298590.0,261270.0,182370.0,140340.0,112450.0,178590.0,93000.0,30320.0,13390.0,10940.0,1290.0,620.0
291,Spouse or common-law partner amount,#,2010,2097360.0,127160.0,115040.0,174240.0,216920.0,192160.0,147650.0,128420.0,114090.0,98530.0,86000.0,75960.0,67440.0,114960.0,94410.0,75690.0,57450.0,128470.0,54110.0,28670.0
292,Amount for eligible dependant,#,2010,974480.0,73320.0,84340.0,118460.0,101620.0,85190.0,72440.0,67030.0,61600.0,51770.0,42550.0,35090.0,29090.0,44650.0,33330.0,23790.0,15340.0,24500.0,7370.0,3000.0
293,Amount for children 17 and under,#,2010,3762910.0,190950.0,158270.0,224810.0,224100.0,220350.0,212940.0,220670.0,223910.0,212180.0,195250.0,180010.0,163070.0,285680.0,242240.0,194610.0,144980.0,291990.0,114930.0,61980.0
294,Amount for infirm dependants age 18 or older,#,2010,13250.0,280.0,260.0,430.0,770.0,980.0,950.0,980.0,980.0,950.0,870.0,720.0,660.0,1010.0,830.0,630.0,450.0,960.0,360.0,190.0
295,CPP or QPP contributions through employment,#,2010,14605290.0,255220.0,799960.0,987970.0,1018450.0,1034120.0,1019380.0,1043180.0,1036660.0,958860.0,848200.0,744410.0,651150.0,1061310.0,833410.0,625300.0,443130.0,831100.0,283700.0,129820.0
296,CPP or QPP contributions self-employment and other eligible earnings,#,2010,1562830.0,31270.0,196460.0,251010.0,192910.0,152060.0,120170.0,98690.0,84740.0,76280.0,59300.0,42370.0,32090.0,46620.0,32080.0,23510.0,17530.0,46610.0,32290.0,26860.0
297,Employment Insurance premiums,#,2010,14665660.0,525620.0,916340.0,1002740.0,1012890.0,1023530.0,1009850.0,1029440.0,1021740.0,946040.0,834280.0,731440.0,641960.0,1038750.0,809750.0,602000.0,423820.0,764030.0,238470.0,92980.0
298,Employment Insurance premiums on self-employment and other eligible earnings,#,2010,3340.0,110.0,290.0,480.0,440.0,400.0,290.0,240.0,220.0,180.0,130.0,110.0,90.0,130.0,70.0,60.0,40.0,60.0,20.0,0.0
299,PPIP premiums paid,#,2010,3655750.0,126620.0,224700.0,258200.0,272960.0,281500.0,289840.0,307400.0,298190.0,253300.0,216150.0,183120.0,155290.0,240630.0,175670.0,106920.0,70870.0,131990.0,41490.0,20890.0
300,PPIP premiums payable on employment income,#,2010,109860.0,2570.0,5830.0,6790.0,6360.0,5820.0,5610.0,5710.0,5860.0,6360.0,6610.0,6780.0,6470.0,10170.0,7730.0,5810.0,4460.0,8070.0,2250.0,600.0
301,PPIP premiums payable on self-employment income,#,2010,411930.0,15120.0,44240.0,64680.0,53250.0,40350.0,30510.0,24020.0,19900.0,17580.0,13960.0,12140.0,10190.0,14510.0,8590.0,6010.0,4500.0,12610.0,10520.0,9230.0
302,Canada employment amount,#,2010,17037990.0,880180.0,1081950.0,1173360.0,1152970.0,1168270.0,1148690.0,1177900.0,1165280.0,1079860.0,942940.0,820660.0,713160.0,1155800.0,893430.0,664150.0,468890.0,888190.0,311930.0,150390.0
303,Public transit amount,#,2010,1578640.0,88990.0,105580.0,130450.0,128370.0,121790.0,109670.0,104110.0,100810.0,91970.0,81950.0,70460.0,62030.0,97440.0,75570.0,56470.0,41160.0,78190.0,24430.0,9220.0
304,Children's fitness amount,#,2010,1576820.0,22500.0,19750.0,32770.0,44340.0,55610.0,65530.0,77180.0,86810.0,89880.0,89470.0,87060.0,82440.0,153120.0,141050.0,120780.0,93700.0,192400.0,78970.0,43470.0
305,Home buyers' amount,#,2010,183470.0,1660.0,1320.0,2650.0,5110.0,8080.0,11620.0,15050.0,17180.0,17460.0,16410.0,15160.0,13240.0,20820.0,13570.0,8240.0,5260.0,8100.0,2030.0,520.0
306,Adoption expenses,#,2010,2910.0,30.0,30.0,50.0,70.0,90.0,120.0,140.0,160.0,170.0,180.0,170.0,150.0,310.0,260.0,220.0,180.0,350.0,140.0,90.0
307,Pension income amount,#,2010,4417420.0,28320.0,69730.0,199310.0,516500.0,566220.0,443750.0,428440.0,377320.0,358750.0,258740.0,202590.0,163830.0,253260.0,156440.0,102470.0,66790.0,137750.0,56600.0,30650.0
308,Caregiver amount,#,2010,197260.0,3740.0,3630.0,6120.0,10130.0,13230.0,14720.0,15970.0,16190.0,15310.0,13750.0,11380.0,10120.0,15760.0,12040.0,9480.0,6750.0,13020.0,4220.0,1690.0
309,Disability amount,#,2010,614280.0,29010.0,49830.0,98490.0,85710.0,73750.0,57610.0,48460.0,38030.0,30200.0,21910.0,16330.0,12380.0,17780.0,10240.0,6620.0,4200.0,8060.0,3500.0,2190.0
310,Disability amount transferred from a dependant,#,2010,204610.0,5570.0,4410.0,7010.0,9550.0,11290.0,12580.0,14270.0,14970.0,14570.0,13140.0,11630.0,10420.0,17460.0,14060.0,11110.0,8110.0,15750.0,5900.0,2830.0
311,Interest paid on student loans,#,2010,628130.0,4830.0,5100.0,17330.0,36210.0,48980.0,57980.0,63040.0,62130.0,56610.0,48900.0,42440.0,35940.0,56010.0,36260.0,21660.0,11930.0,17120.0,4340.0,1340.0
312,"Tuition, education, and textbook amounts",#,2010,1669920.0,670.0,1250.0,218850.0,284980.0,211500.0,168770.0,136790.0,111880.0,93540.0,76320.0,63950.0,52870.0,80180.0,55400.0,38420.0,24660.0,37110.0,9450.0,3340.0
313,"Tuition, education, and textbook amounts transferred from a child",#,2010,708330.0,700.0,660.0,3420.0,10760.0,19500.0,26030.0,32900.0,39250.0,41200.0,41000.0,39240.0,37360.0,68890.0,66420.0,57390.0,46850.0,104650.0,45480.0,26670.0
314,Amounts transferred from spouse,#,2010,1157120.0,158330.0,78850.0,157100.0,153680.0,129350.0,99140.0,79850.0,60530.0,42590.0,31200.0,24610.0,20260.0,31760.0,23270.0,17280.0,12310.0,24390.0,8710.0,3910.0
315,Allowable portion of medical expenses,#,2010,4224060.0,99750.0,127460.0,264690.0,510320.0,558260.0,481540.0,442660.0,373040.0,306730.0,216420.0,162250.0,123600.0,173160.0,104270.0,64570.0,44280.0,95540.0,44760.0,30780.0
316,Total tax credits on personal amounts,#,2010,25983990.0,2717970.0,2041690.0,2579430.0,2513530.0,1938650.0,1648180.0,1591420.0,1494840.0,1366980.0,1141860.0,974850.0,831880.0,1338390.0,1000300.0,733200.0,513550.0,993330.0,370960.0,193000.0
317,Allowable charitable donations and government gifts,#,2010,5940960.0,13490.0,22020.0,81610.0,209460.0,327380.0,364960.0,416670.0,434600.0,430830.0,391960.0,356240.0,321800.0,552900.0,450000.0,357420.0,268430.0,562320.0,237920.0,140950.0
318,"Eligible cultural, ecological gifts",#,2010,6210.0,70.0,70.0,160.0,360.0,430.0,410.0,460.0,470.0,490.0,370.0,340.0,330.0,520.0,450.0,320.0,210.0,430.0,180.0,150.0
319,Total tax credit on donations and gifts,#,2010,5894670.0,12190.0,20910.0,79440.0,205240.0,322880.0,360500.0,412170.0,430440.0,427200.0,388840.0,353600.0,319760.0,549860.0,448180.0,356200.0,267650.0,561160.0,237640.0,140830.0
320,Total federal non-refundable tax credits,#,2010,25984610.0,2718050.0,2041720.0,2579470.0,2513560.0,1938680.0,1648240.0,1591460.0,1494870.0,1367010.0,1141880.0,974890.0,831890.0,1338420.0,1000320.0,733220.0,513560.0,993360.0,371000.0,193050.0
321,Federal dividend tax credit,#,2010,3492820.0,10070.0,8140.0,56960.0,108010.0,173550.0,192910.0,223610.0,235830.0,251470.0,218900.0,199640.0,178390.0,319520.0,253780.0,202080.0,154690.0,377770.0,195510.0,132000.0
322,Overseas employment tax credit,#,2010,8000.0,0.0,0.0,0.0,20.0,30.0,60.0,70.0,130.0,160.0,190.0,210.0,190.0,440.0,510.0,540.0,530.0,2370.0,1960.0,610.0
323,Minimum tax carryover,#,2010,36160.0,0.0,0.0,380.0,910.0,1360.0,1610.0,1750.0,1670.0,1700.0,1570.0,1490.0,1460.0,2990.0,2400.0,2090.0,1690.0,5470.0,4170.0,3430.0
324,Basic federal tax,#,2010,16207240.0,16860.0,23440.0,445480.0,917580.0,1284350.0,1356070.0,1443840.0,1412130.0,1315950.0,1109940.0,953120.0,818940.0,1323120.0,993250.0,729700.0,511580.0,989750.0,369580.0,192570.0
325,Federal foreign tax credit,#,2010,1056460.0,130.0,310.0,7150.0,19850.0,37580.0,47240.0,57820.0,63490.0,69310.0,61920.0,56790.0,52310.0,97020.0,79410.0,65330.0,52010.0,138120.0,83190.0,67500.0
326,Federal political contribution tax  credit,#,2010,142560.0,0.0,0.0,510.0,1680.0,4510.0,6100.0,7810.0,8610.0,9840.0,8830.0,8220.0,7670.0,14230.0,11070.0,9080.0,6890.0,17630.0,10480.0,9390.0
327,Investment tax credit,#,2010,48520.0,0.0,0.0,500.0,940.0,1240.0,1280.0,1400.0,1450.0,1520.0,1380.0,1420.0,1380.0,2630.0,2480.0,2320.0,2230.0,7700.0,7340.0,11310.0
328,Labour-sponsored funds tax credit,#,2010,305780.0,20.0,60.0,520.0,2690.0,6280.0,11470.0,20140.0,27330.0,26140.0,26770.0,24910.0,23650.0,39500.0,31750.0,20300.0,13760.0,23540.0,5430.0,1530.0
329,Alternative minimum tax payable,#,2010,34060.0,80.0,10.0,20.0,10.0,30.0,30.0,40.0,60.0,60.0,80.0,90.0,110.0,470.0,1750.0,2910.0,2860.0,11170.0,7540.0,6730.0
330,Net federal tax,#,2010,16160020.0,16520.0,23090.0,440020.0,911270.0,1277190.0,1351680.0,1440370.0,1409420.0,1313810.0,1108160.0,951570.0,817600.0,1320930.0,991660.0,728460.0,510660.0,987380.0,368310.0,191930.0
331,CPP contributions payable on self-employment and other earnings,#,2010,1196740.0,23980.0,157770.0,190900.0,143260.0,114200.0,91560.0,76180.0,65990.0,59680.0,46890.0,33390.0,25300.0,36370.0,24940.0,18210.0,13420.0,34780.0,22110.0,17820.0
332,Employment  Insurance premiums payable on self-employment and other eligible,#,2010,3340.0,110.0,290.0,480.0,440.0,400.0,290.0,240.0,220.0,180.0,130.0,110.0,90.0,130.0,70.0,60.0,40.0,60.0,20.0,0.0
333,Social benefits repayment,#,2010,484840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2590.0,25940.0,82510.0,95290.0,67210.0,45070.0,97350.0,41990.0,26880.0
334,Net provincial or territorial tax,#,2010,12184490.0,9130.0,23540.0,143810.0,501800.0,996270.0,1041740.0,1071670.0,1047490.0,993950.0,842840.0,728740.0,630970.0,1035340.0,788560.0,603000.0,426830.0,826980.0,311100.0,160730.0
335,Total tax payable,#,2010,17166850.0,43060.0,190550.0,606270.0,1033480.0,1471530.0,1471950.0,1509020.0,1451660.0,1342350.0,1126670.0,965370.0,826030.0,1331490.0,997390.0,731890.0,512790.0,991840.0,370400.0,193130.0
336,Number of taxable returns,#,2009,17023050.0,44680.0,189510.0,630600.0,1074440.0,1489510.0,1496380.0,1529100.0,1461250.0,1329760.0,1114720.0,957080.0,807740.0,1298890.0,963210.0,708390.0,473560.0,922770.0,348990.0,182480.0
337,Number of non-taxable returns,#,2009,8745880.0,2707630.0,1873690.0,1924220.0,1426680.0,447910.0,168020.0,80080.0,44000.0,25170.0,15420.0,9550.0,6050.0,7120.0,3330.0,1740.0,1110.0,2480.0,1200.0,480.0
338,Total number of returns,#,2009,25768930.0,2752310.0,2063200.0,2554810.0,2501120.0,1937420.0,1664400.0,1609180.0,1505260.0,1354920.0,1130140.0,966630.0,813790.0,1306010.0,966540.0,710130.0,474670.0,925250.0,350200.0,182960.0
339,Employment income,#,2009,16987640.0,1500720.0,1098620.0,1154790.0,1132210.0,1121010.0,1109340.0,1134010.0,1117660.0,1021770.0,896990.0,788260.0,676020.0,1100400.0,846390.0,633000.0,424520.0,808000.0,286020.0,137930.0
340,Commissions (from employment),#,2009,463590.0,11000.0,22360.0,28230.0,28890.0,29150.0,28750.0,28430.0,28100.0,26700.0,23990.0,21500.0,19620.0,32610.0,25280.0,19660.0,15420.0,41560.0,21580.0,10780.0
341,Other employment income,#,2009,2341440.0,75030.0,98430.0,108130.0,104780.0,122670.0,139050.0,156420.0,164030.0,159670.0,143040.0,127070.0,113510.0,198410.0,155780.0,112140.0,80630.0,175380.0,71530.0,35750.0
342,Old Age Security pension,#,2009,4441190.0,72020.0,149430.0,567510.0,1001810.0,576630.0,383990.0,339240.0,270400.0,232450.0,159980.0,122430.0,97660.0,152300.0,85950.0,53620.0,34070.0,75200.0,38620.0,27860.0
343,CPP or QPP benefits,#,2009,5942900.0,137790.0,313890.0,685130.0,1097290.0,703100.0,508990.0,461410.0,388250.0,341540.0,248210.0,193340.0,154610.0,231860.0,135170.0,84760.0,54470.0,115220.0,53310.0,34550.0
344,Other pensions or superannuation,#,2009,3687260.0,18820.0,44010.0,127100.0,400110.0,485270.0,387640.0,373660.0,328850.0,300650.0,223620.0,176430.0,142820.0,215600.0,128960.0,82410.0,54270.0,118560.0,52550.0,25940.0
345,Elected split-pension amount,#,2009,1008360.0,11940.0,30800.0,87440.0,147870.0,125730.0,93690.0,106810.0,87700.0,98510.0,42050.0,26790.0,22470.0,45210.0,26210.0,17930.0,9760.0,18090.0,6170.0,3210.0
346,Universal Child Care Benefit,#,2009,1688420.0,381450.0,166890.0,185760.0,151060.0,129000.0,116000.0,105180.0,91310.0,74590.0,59720.0,48020.0,37400.0,52450.0,33390.0,21940.0,11490.0,16830.0,4650.0,1300.0
347,Employment Insurance benefits,#,2009,3001210.0,45100.0,128330.0,265750.0,345860.0,364170.0,357380.0,322010.0,269440.0,213840.0,163580.0,124120.0,94190.0,128550.0,76210.0,40850.0,22580.0,31220.0,6750.0,1310.0
348,Taxable amount of dividends,#,2009,3943840.0,102460.0,93250.0,154480.0,223250.0,231870.0,220280.0,238000.0,246020.0,253570.0,219560.0,199970.0,178690.0,313780.0,248550.0,197400.0,148090.0,361660.0,186440.0,126530.0
349,Interest and other investment income,#,2009,7438660.0,377990.0,316650.0,477780.0,688260.0,598610.0,503690.0,497890.0,474610.0,451150.0,374600.0,327680.0,283330.0,475650.0,359470.0,274040.0,193500.0,427300.0,200540.0,135920.0
350,Net partnership income,#,2009,205330.0,7230.0,2450.0,3120.0,4540.0,5780.0,6120.0,6890.0,7500.0,8780.0,7980.0,7640.0,7360.0,14640.0,12610.0,10900.0,9100.0,29240.0,23940.0,29520.0
351,RDSP income,#,2009,80.0,10.0,10.0,20.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,Net rental income,#,2009,1332670.0,54870.0,51600.0,72980.0,90220.0,91230.0,84430.0,85350.0,84920.0,81230.0,72070.0,64030.0,56900.0,96590.0,75220.0,59050.0,42760.0,95910.0,44630.0,28690.0
353,Taxable capital gains,#,2009,1205440.0,34730.0,33350.0,46730.0,62430.0,65920.0,62240.0,66200.0,67130.0,70340.0,61560.0,56220.0,51270.0,92340.0,74580.0,60390.0,46790.0,122370.0,72100.0,58760.0
354,Support payments received,#,2009,105880.0,5560.0,8170.0,11570.0,12600.0,11410.0,9190.0,8240.0,7240.0,5850.0,4980.0,3960.0,3110.0,4600.0,2980.0,1940.0,1290.0,2330.0,650.0,230.0
355,Registered Retirement Savings Plan income,#,2009,2339120.0,79090.0,75610.0,113610.0,147640.0,166110.0,167340.0,180150.0,184430.0,177200.0,153950.0,134180.0,116700.0,185580.0,134110.0,95960.0,63550.0,115700.0,35820.0,12400.0
356,Other income,#,2009,4399040.0,220050.0,257540.0,293660.0,306490.0,294210.0,272730.0,278930.0,274290.0,266370.0,223360.0,194670.0,170100.0,289680.0,224420.0,171890.0,125170.0,290410.0,147110.0,97970.0
