#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under/Moins de 4 999 #,4999 and under/Moins de 4 999 $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000),50000 and over/et plus #,50000 and over/et plus $ (000)
81,Children's arts amount,Montant pour les activités artistiques des enfants,2011, 480500,240568,6060,2668,5340,2278,8470,3715,11550,5027,13940,6059,16330,7150,18880,8160,21410,9292,22290,9784,22580,10085,22280,10161,22080,10172,42800,20101,43240,21032,39070,19922,34960,18630,75890,42564,34010,20765,19330,13005,333660,176350
82,Home buyers' amount,Montant pour l'achat d'une habitation,2011, 187140,846019,1730,7159,1380,5912,2750,11564,5170,21671,8370,36136,11500,50188,14850,65047,17090,75541,17210,77108,16140,72664,15010,68285,13280,60975,20970,96934,14270,66707,9250,43510,5780,27171,9460,45136,2370,11437,590,2873,90960,423028
83,Adoption expenses,Frais d'adoption,2011, 2450,16188,20,118,20,81,30,41,60,172,60,263,80,343,100,588,120,707,140,850,150,796,150,817,120,831,260,1758,230,1675,180,1277,160,1236,360,2750,140,1302,60,582,1670,12229
84,Pension income amount,Montant pour revenu de pension,2011, 4528700,8627170,27710,37496,62790,96084,184350,299345,487550,822986,589210,1121708,446560,873530,434240,855091,385430,760024,375100,741439,271800,536095,214210,422283,174380,343566,271280,534685,170020,334563,112070,220120,74230,145215,151410,295685,62500,121681,33880,65573,1263980,2483371
85,Caregiver amount,Montant pour aidants naturels,2011, 205640,893383,3970,16706,3760,15072,6130,23548,9930,38766,13020,52567,14620,61083,16000,67930,16300,70266,15700,68025,13920,61117,12330,53922,10260,44905,16770,74824,13040,58462,10250,47494,7740,36212,15110,71132,4800,22509,2000,8843,92290,418303
86,Disability amount,Montant pour personnes handicapées,2011, 649680,4762689,30690,229033,49680,364472,100380,733349,87560,640407,78880,576009,61090,447796,51280,376169,40880,299942,33220,243830,24020,176309,18020,132298,14020,102925,20060,147225,11960,87809,7390,54273,4860,35702,9380,68839,3830,28100,2480,18202,92010,675373
87,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2011, 218090,2097888,6020,63443,4860,50567,7370,73689,9700,88980,11620,102494,12860,114285,14530,131168,15270,140217,15160,142912,13760,131581,12430,119804,11160,109681,18550,182270,15260,152877,12190,121556,9460,95229,18190,182044,6600,64962,3110,30129,106950,1058552
88,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2011, 628760,315553,4640,1969,4810,1811,15310,5779,33150,13568,46130,19751,55360,24371,60730,28155,61550,29677,56260,28530,48920,25768,43070,23597,36550,20840,57800,34499,39620,22849,24160,12890,14030,7225,19990,10723,5150,2811,1530,741,241900,136175
89,"Tuition, education, and textbook amounts","Frais de scolarité, montant relatif aux études et montant pour manuels",2011, 1704650,8309458,650,677,1180,2315,206930,250340,290990,1087346,217660,1228651,173100,1093402,141690,904351,116340,740628,96040,587397,78440,461914,65530,369647,54210,306964,83280,454527,57710,257488,39630,168787,26770,112286,40610,203740,10400,59483,3490,19512,381630,1952434
90,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2011, 716370,3567448,680,2284,670,2181,3170,7000,10100,39637,17830,74625,24490,107029,31310,141548,37480,172401,39730,186625,39740,187996,38870,184865,37110,178336,68060,331128,67320,334971,58290,297532,50030,261916,112880,604700,49500,278720,29140,173953,511190,2646121
91,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2011, 1176790,5567786,156370,688226,75130,325531,158650,806991,155500,807973,132910,695985,100560,501797,81030,368338,62380,265974,43830,189957,32040,143555,25720,116589,21210,95332,33160,147460,25070,108755,18480,78836,13600,56903,27310,112768,9570,39191,4270,17625,178400,773458
92,Medical expenses,Montant admissible des frais médicaux,2011, 4339800,10528939,99700,99563,123940,208309,247860,406571,490180,921477,567320,1120003,489610,1051963,453460,1067546,389670,917058,327810,842369,230150,604928,174570,476674,133330,384106,188140,590540,115480,376216,70670,254323,48710,187152,105800,460273,49390,279051,34040,280818,920110,3289152
93,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2011, 26286000,65843808,2697360,4926024,1968660,3940675,2490500,5605419,2526160,6515181,1957240,5273429,1633820,4414446,1575340,4270922,1492080,4012098,1384160,3713659,1159930,3114965,1000170,2682032,855490,2294669,1393460,3726900,1064290,2847747,780310,2102867,574180,1565833,1106960,3059437,414120,1164695,211780,612811,7400750,20056991
94,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2011, 5895670,9476263,12240,3676,19940,11766,70160,45835,186680,201792,310130,205257,342780,239697,393550,306637,414320,342536,418430,370645,382110,353793,352000,342854,318140,323943,551920,933956,459230,540170,364080,474731,288650,398343,602750,1092689,256740,807110,151790,2480831,3345320,7394628
95,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2011, 6400,63648,80,648,80,24,180,80,440,266,430,268,430,5563,450,381,440,477,450,685,430,625,390,806,330,737,510,1831,440,1583,340,1385,230,1239,440,4340,190,6598,140,36112,3000,54631
96,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2011, 5850550,2499143,10860,732,18770,1811,68030,7240,182930,25363,305750,46171,338530,64061,389280,81281,410340,91325,414850,99360,379140,95183,349580,92742,316120,87903,548810,168150,457190,147599,362820,130275,287830,109540,601490,304233,256520,229431,151730,716742,3332080,1986615
97,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2011, 26287010,68342952,2697450,4926756,1968810,3942486,2490690,5612659,2526300,6540544,1957330,5319600,1633870,4478507,1575400,4352203,1492100,4103422,1384190,3813019,1159940,3210148,1000180,2774774,855500,2382572,1393470,3895049,1064310,2995346,780320,2233142,574190,1675373,1106980,3363670,414140,1394126,211850,1329554,7400940,22043606
98,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2011, 3608470,7879500,10310,29,8040,51,53340,3978,100370,15627,170830,36779,188680,61571,220190,91386,235570,127496,254710,165803,222280,175375,205230,201823,184240,188752,331910,415252,267250,381543,213410,351658,167840,294897,413230,1116657,216290,1096105,144760,3154720,2144160,7201405
99,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2011, 8020,77169,0,0,0,0,20,3,50,21,60,36,60,58,100,126,110,198,150,335,160,475,180,658,210,837,410,2005,420,2397,480,3052,480,3513,2300,22591,2050,28251,770,12612,7300,75916
100,Minimum tax carryover,Report d'impôt minimum,2011, 40700,121796,0,0,0,0,360,77,870,411,1370,1006,1640,1728,1740,2418,1750,3056,1940,4122,1600,3700,1620,4486,1560,4179,3360,8783,2850,6781,2390,5419,1920,4330,6540,15961,5050,15912,4140,39426,29420,105276
101,Basic federal tax,Impôt fédéral de base,2011, 16446030,117560137,14510,8400,20980,10675,397310,90353,855890,492154,1241560,1152369,1320150,1903427,1415230,2792879,1401350,3582503,1328120,4213687,1124450,4402327,975800,4627303,841390,4712484,1376540,9514381,1056610,9188916,776420,8115729,572010,7006807,1103340,18804951,412930,12939440,211440,24001355,7326470,98911365
102,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2011, 1098550,851281,140,61,260,105,6400,307,18330,1229,36690,2512,45960,3797,57240,5240,63450,7015,71310,8851,63670,10204,58560,11430,54620,12514,100950,27905,84240,30673,68800,30693,56050,29370,147870,120860,89950,143427,74070,405087,735100,811959
103,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2011, 184390,33250,0,0,0,0,590,51,1850,216,5160,588,6980,869,9290,1220,10640,1456,11870,1709,10960,1614,10340,1574,9760,1565,18600,3071,14970,2580,12050,2160,9660,1804,24700,5141,14140,3530,12830,4102,127050,25527
104,Investment Tax Credit,Crédit d'impôt à l'investissement,2011, 49970,118986,0,0,0,0,420,56,840,281,1110,469,1210,651,1270,813,1320,905,1450,1110,1460,1188,1420,1262,1380,1292,2710,2766,2650,2742,2460,2573,2290,2587,7990,10581,7690,14836,12290,74871,40890,113511
105,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2011, 320840,141295,20,1,30,4,440,54,2510,477,5950,1431,10950,2953,18780,5485,27300,8660,26820,9535,26890,10882,26060,11108,23980,10640,41350,19310,35530,17771,22230,11900,15530,8651,28070,16949,6680,4339,1720,1147,201160,101814
106,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2011, 35960,198345,90,1335,20,92,30,50,20,56,30,354,30,91,40,110,50,139,50,116,60,165,90,185,150,456,480,492,1800,1371,2970,2433,3120,3251,12070,21481,7970,36561,6900,129605,35540,195835
107,Net federal tax,Impôt fédéral net,2011, 16394850,116488627,14060,4780,20400,10278,391610,90236,848930,490674,1233730,1148327,1315500,1896171,1411630,2781264,1398420,3565661,1325750,4193741,1122470,4379731,974100,4603135,839920,4687664,1374240,9463569,1054880,9137444,775170,8070727,571050,6966562,1100850,18661335,411480,12781751,210670,23555576,7312360,97927763
108,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2011, 1203100,1867746,23470,2918,158090,54310,192470,130431,143400,143045,112270,143738,91000,140487,75560,131440,66080,127005,59870,125367,48460,108243,35160,92105,26010,74509,37720,116336,25660,83437,18980,63831,13730,47687,35460,128090,22080,84084,17650,70682,232440,760762
109,Employment Insurance premiums payable on self-employment,Cotisations à l'assurance-emploi à payer pour le revenu d'un travail indépendant et pour d'autres re,2011, 4650,1569,150,8,440,43,640,99,640,136,540,148,450,148,360,147,270,120,230,120,200,122,140,93,120,72,180,112,100,70,70,46,30,23,70,44,20,14,0,0,740,480
110,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2011, 499600,1303701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17970,8358,72480,62875,99500,102835,72380,127923,50180,122654,110340,444327,46850,261837,29900,172868,499590,1303690
111,Net Provincial Tax,Impôt provincial ou territorial net,2011, 12377880,49542980,7970,1285,18970,3120,118640,21968,455830,137687,964760,446306,1020370,793083,1052280,1109523,1037740,1407473,999680,1738890,852220,1803895,742370,1882586,645470,1903301,1072250,3803075,829780,3652381,636940,3382484,476940,3006436,921000,8285139,347850,5717483,176820,10446865,5849430,42079750
112,Yukon first nations tax,Impôt des Premières nations du Yukon,2011, 900,5578,0,0,0,0,0,0,40,17,60,73,90,147,80,186,80,229,80,293,70,346,70,366,70,489,100,885,70,797,50,704,20,361,20,463,0,0,0,0,410,4285
113,Total tax payable,Total à payer,2011, 17429010,169210201,39800,8991,185610,67751,559100,242736,966160,771570,1433050,1738592,1444480,2830035,1486360,4022560,1445000,5100488,1357270,6058411,1143040,6292337,989690,6578298,849000,6674394,1385860,13446853,1061130,12976965,778850,11645715,573360,10143722,1105540,27519399,413720,18845388,212010,34245995,7369160,142076729
