,Grand total #/Total global #,Grand total $/Total global $,Loss and nil #/Perte et néant # ,Loss and nil $/Perte et néant $,1 - 4999 #,1 - 4999 $,5000 - 9999 #,5000 - 9999 $,10000 - 14999 # ,10000 - 14999 $,15000 - 19999 #,15000 - 19999 $,20000 - 24999 #,20000 - 24999 $,25000 - 29999 #,25000 - 29999 $,30000 - 34999 #,30000 - 34999 $,35000 - 39999 #,35000 - 39999 $40000 - 44999 #,40000 - 44999 #,40000 - 44999 $,45000 - 49999 #,45000 - 49999 $,50000 - 54999 #,50000 - 54999 $,55000 - 59999 #,55000 - 59999 $,60000 - 69999 #,60000 - 69999 $,70000 - 79999 #,70000 - 79999 $,80000 - 89999 #,80000 - 89999 $,90000 - 99999 #,90000 - 99999 $,100000 - 149999 #,100000 - 149999 $,150000 - 249999 #,150000 - 249999 $,250000 and over #/250 000 et plus #,250000 and over $/250 000 et plus $,CODE1,iteme,itemf,CODE2,item_e
77,1528690,1113522,4560,2180,76580,31201,101440,43990,123610,61856,124210,72709,117350,77418,108520,78581,104560,79889,101020,80820,90880,75435,79910,67733,70170,60347,60010,52376,95220,83739,73180,64424,54030,48607,39110,35658,73460,68046,22730,20784,8160,7728,I,Public transit amount,Montant pour le coût des laissez-passer de transport en commun,78,Public transit amount
78,1528760,792418,2530,1209,16590,6637,17730,6959,30190,12019,43560,17934,54970,22895,65740,27563,78770,33403,88160,38163,89810,40324,88440,40763,86500,41106,81700,39642,151570,76978,137740,74025,117820,67541,85060,50544,177360,112006,74020,51695,40520,31014,I,Children's fitness amount,Montant pour la condition physique des enfants,79,Children's fitness amount
79,3174410,15439874,2040,9469,8290,31917,11640,45836,34570,124262,81200,296400,124300,480478,153700,629131,187430,793018,208560,906886,215840,961026,207880,941999,198110,917119,183030,861520,328370,1592294,275110,1382806,223870,1161684,161530,863154,343800,1963655,144730,910348,80430,566871,I,Home renovation expenses,Dépenses pour la rénovation domiciliaire,80,Home renovation expenses
80,203580,935502,150,636,1400,5884,1330,5811,2900,12369,5750,24843,9320,41291,13160,58639,17130,77216,19320,87635,19770,90254,18430,84671,16990,78518,14860,69251,22860,107116,14980,70770,9340,44416,5320,25411,8040,38437,1940,9398,600,2935,I,Home buyers' amount,Montant pour l'achat d'une habitation,81,Home buyers' amount
81,3100,20161,10,26,30,83,40,127,50,198,80,267,100,485,130,625,150,792,160,938,170,1027,180,1071,190,1144,150,1067,330,2273,270,1947,240,1637,170,1184,390,3046,180,1454,90,770,I,Adoption expenses,Frais d'adoption,82,Adoption expenses
82,4299010,8167064,2110,3654,26180,34535,69480,106823,199020,325851,504860,857422,566020,1078562,442720,864714,423380,832307,369980,728824,343360,677791,247410,487532,192730,379538,155800,306926,237170,467299,144970,285065,94420,185286,62070,121315,131940,257819,57110,111240,28290,54563,I,Pension income amount,Montant pour revenu de pension,83,Pension income amount
83,188460,805876,590,2495,3240,13158,3560,13776,6190,23632,10160,39391,13180,53364,14910,61737,15750,66389,15770,67425,14870,63531,13060,56928,10940,47382,9270,39863,14360,63091,11200,49780,8640,39648,5850,26850,11600,53776,3810,17200,1490,6460,I,Caregiver amount,Montant pour aidants naturels,84,Caregiver amount
84,585780,4209351,2660,19688,25030,182095,47390,340403,93440,669014,82270,590134,72740,521778,56270,404441,46250,332677,36360,261524,28530,205272,20630,148402,15280,109967,11580,83292,15910,114440,9380,67507,5950,42782,3800,27368,7370,53039,3100,22298,1840,13230,I,Disability amount,Montant pour personnes handicapées,85,Disability amount
85,193500,1803591,600,5579,4990,50508,4330,42909,6760,63767,9130,79028,10880,91871,12490,106983,14010,121943,14410,129649,13930,127372,12370,116055,11100,105643,9710,92569,16250,157791,13030,127429,10340,100879,7120,70189,14050,137337,5430,51639,2570,24450,I,Disability amount transferred from a dependent,Montant pour personnes handicapées transféré d'une personne à charge,86,Disability amount transferred from a dependent
86,643350,323297,380,205,4610,1771,5460,1934,18240,6872,37660,16044,50540,22142,60250,27318,65770,31002,65010,32090,58440,29680,50720,27169,44160,24539,37340,21347,56520,32814,35610,20086,20600,11090,11180,5880,15680,8483,3950,2167,1250,665,I,Interest paid on student loans,Intérêts payés sur des prêts étudiants,87,Interest paid on student loans
87,1628680,7036001,0,0,600,678,1320,2459,210480,269781,264650,994064,197100,1049436,160280,903484,135410,755948,113840,616498,94680,483763,78030,380713,66030,304484,54480,264619,81580,354415,56450,211043,39230,136871,23880,89261,37230,157963,9830,44898,3610,15624,I,"Tuition, education, and textbook amounts","Frais de scolarité, montant relatif aux études, montant pour manuels",88,"Tuition, education, and textbook amounts"
88,688930,3358578,100,366,540,1709,680,2139,3460,7774,11270,39555,19160,78097,26200,111944,33130,146771,38960,176516,40780,187441,40190,186554,38720,181584,36000,169829,68180,326984,64710,318844,56800,286513,43270,222631,98120,520954,43470,242597,25230,149776,I,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études, manuels transférés d'un enfant",89,"Tuition, education, and textbook amounts transferred from a child"
89,1170840,5354088,15230,66045,135370,581841,80010,337574,157950,780260,165920,836269,135990,688718,102130,483444,81610,354260,61520,251446,41750,173172,30860,132392,24500,105880,19790,84581,31230,131978,22790,93234,17110,69213,11620,45959,23160,90091,8520,32841,3790,14888,I,Amounts transferred from spouse,Montants transférés d'un époux ou conjoint de fait,90,Amounts transferred from spouse
90,4065660,9805392,11710,15410,85310,81079,124880,141056,263620,396916,504600,1292024,552530,1078026,472680,997842,427230,951533,354570,826932,287280,725648,200950,521869,150640,410990,113750,328033,160140,500657,96800,316828,60430,214710,40190,153088,88250,388182,41550,233057,28570,231511,I,Allowable portion of medical expenses,Montant admissible des frais médicaux,91,Allowable portion of medical expenses
91,25732240,64971738,316510,550200,2413180,4325700,2060600,4035444,2552880,5673846,2499730,6411808,1936260,5143850,1663570,4450752,1608490,4336580,1504670,4058507,1354490,3675440,1129660,3089263,966300,2655837,813530,2253707,1305540,3641706,966130,2735668,709840,2047681,474410,1395530,924490,2792682,349550,1097885,182410,599651,I,Total tax credits on personal amounts,Crédits d'impôt nets alloués,92,Total tax credits on personal amounts
92,5800930,8232264,250,276,13590,7555,22880,9157,81650,43435,207400,106874,323070,191591,362610,247343,414460,313000,433700,349727,424780,366941,385800,351724,353310,338228,315270,316801,540750,599490,439310,518216,348650,450670,248300,353439,525170,970951,226000,707190,133980,1989655,J,Allowable charitable donations and government gifts,"Dons de bienfaisance, dons aux gouvernements admissibles",93,Allowable charitable donations and government gifts
93,5950,60757,10,1,60,1477,90,66,170,99,310,162,390,241,410,486,410,387,440,607,410,649,390,676,330,791,330,890,540,1788,440,1654,300,1192,210,1388,440,5800,160,5363,140,37040,J,"Eligible cultural, ecological gifts",Montants admissibles des dons de biens culturels ou écosensibles,94,"Eligible cultural, ecological gifts"
94,5752400,2276029,20,1,12370,1084,21470,2148,79290,8358,203190,26921,318240,48137,357930,64540,409730,82723,429300,93194,421020,98302,382640,94643,350650,91159,313310,85532,537770,162846,437340,141454,347410,123459,247540,96982,523870,271254,225480,200438,133840,582858,J,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,95,Total tax credit on donations and gifts
95,25732890,67247767,316520,550200,2413270,4326783,2060650,4037592,2552920,5682204,2499760,6438728,1936290,5191987,1663610,4515292,1608540,4419302,1504700,4151701,1354520,3773742,1129700,3183906,966310,2746996,813560,2339239,1305570,3804553,966150,2877122,709860,2171140,474420,1492512,924530,3063936,349580,1298323,182470,1182508,K,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,96,Total federal non-refundable tax credits
96,3463770,6972725,670,0,10340,40,9000,80,59360,4718,109870,16842,173740,38220,194520,61679,226780,89064,241370,122147,252290,155419,219600,159960,200750,176570,179730,164422,315680,349785,250330,316409,198610,281643,148870,235630,362350,881967,185330,859087,124590,3059042,L,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,97,Federal dividend tax credit
97,15960820,105714037,140,1637,17720,8709,26090,13239,466630,109598,929390,551006,1273920,1224019,1360380,1990921,1451430,2874867,1415080,3598640,1300400,4090030,1096620,4271460,944630,4454011,800340,4454006,1290300,8839217,958790,8237303,706050,7278264,472270,5725795,920570,15437545,348180,10817791,181930,21735979,L,Basic federal tax,Impôt fédéral de base,98,Basic federal tax
98,15914430,104178273,140,1598,17310,4317,25760,12978,460940,109819,923490,549893,1267580,1220440,1356120,1983810,1448130,2863214,1412330,3582386,1298230,4071000,1094840,4250360,943060,4431859,799110,4430874,1288240,8792016,957170,8190920,704740,7234709,471240,5688344,917930,15300838,346810,10674835,181270,20784064,M,Net federal tax,Impôt fédéral net,99,Net federal tax
99,1181850,1827464,590,508,24890,3347,155010,53040,188440,129190,142470,144425,112280,146644,90670,143204,75940,136148,65880,128645,58570,124552,44620,104766,32350,85537,24350,68937,35780,107892,24440,77172,17950,58447,12990,43390,34410,120061,22050,81334,18190,70226,M,CPP contributions on self-employment,"Cotisations au RPC à payer pour le revenu d'un travail indép., autres revenus",100,CPP contributions on self-employment
100,12243660,46861009,110,505,8980,1749,23370,4594,193390,36647,577250,204662,1042200,558709,1074520,947826,1099310,1306856,1066140,1620785,994900,1904781,841620,1937234,728770,1986600,621040,1950017,1012450,3789820,764760,3516465,586100,3232885,392550,2573371,770880,7089119,293010,4892229,152320,9306154,N,Net provincial tax,Impôt provincial ou territorial net,101,Net provincial tax
101,17023050,153931645,750,2610,43930,9413,189510,70611,630600,275658,1074440,899002,1489510,1925867,1496380,3074984,1529100,4306363,1461250,5332078,1329760,6100633,1114720,6292659,957080,6505864,807740,6469679,1298890,12763871,963210,11883101,708390,10632183,473560,8401717,922770,22846949,348990,15845752,182480,30292651,O,Total tax payable,Total de l'impôt à payer,102,Total tax payable
