Grand total/Total global #,Grand total/Total global $,Loss and nil/Perte et néant #,Loss and nil/Perte et néant $,1 - 4999 #,1 - 4999 $,item_e,item_f,prove,provf,code1,code2,taxyr
16000,146033,13910,149123,12370,149052,Net commission income,Revenus nets de commissions,,,B,24,2010
26630,98851,23490,98832,22290,116663,Net farming income,Revenus nets d'agriculture,,,B,25,2010
3840,25376,3540,31351,2810,32657,Net fishing income,Revenus nets de pêche,,,B,26,2010
72420,556678,70600,624839,66380,616990,Workers' compensation benefits,Indemnités pour accidents du travail,,,B,27,2010
116380,768211,43270,270429,20910,118167,Social assistance payments,Prestations d'assistance sociale,,,B,28,2010
252030,652441,59190,189438,27090,80699,Net federal supplements,Versement net des suppléments fédéraux,,,B,29,2010
1939670,43404428,1649090,45288914,1592150,51695275,Total income assessed,Revenu total établi,,,B,30,2010
129550,100406,182100,181056,264800,338979,Registered pension plan (RPP) contributions,Cotisations à un régime de pension agréé (RPA),,,C,31,2010
217400,396507,283020,582364,360170,816162,RRSP deduction,Cotisations à un REER,,,C,32,2010
160,86,180,91,170,86,Saskatchewan Pension Plan (SPP) deduction,Déduction pour le Régime de pensions de la Saskatchewan (RPS),,,C,33,2010
61200,156794,85120,363222,99170,535277,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,,,C,34,2010
263070,75035,303950,105334,361270,151757,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",,,C,35,2010
810,474,620,399,540,333,Universal Child Care Benefit repayment,Remboursement de la prestation universelle pour la garde d'enfants,,,C,36,2010
100850,263484,107060,308623,111580,350093,Child care expenses,Frais de garde d'enfants,,,C,37,2010
110,384,90,423,100,314,Disability supports deductions,Déductions pour produits et services de soutien aux personnes handicapées,,,C,38,2010
500,9367,560,10204,610,11399,Business investment loss,Perte au titre d'un placement d'entreprise,,,C,39,2010
8960,15674,8630,17938,7820,19431,Moving expenses,Frais de déménagement,,,C,40,2010
2160,8179,2760,11934,3180,15339,Support payments made,Pension alimentaire payée,,,C,41,2010
145390,88743,140090,98394,151260,112367,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,,,C,42,2010
152060,97705,120170,92081,98690,84870,Deductions for CPP or QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autre,,,C,43,2010
39920,2317,30120,1932,23670,1600,Deduction for provincial parental insurance plan (PPIP) premiums on self-empl,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un tra,,,C,44,2010
1110,2357,1250,2589,1500,4173,Exploration and development expenses,Frais d'exploration et d'aménagement,,,C,45,2010
28910,72938,36480,99439,43420,132824,Other employment expenses,Autres dépenses d'emploi,,,C,46,2010
1020,6513,1680,11544,2290,18053,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,,,C,47,2010
84380,53822,80520,56515,75420,57579,Other deductions,Autres déductions,,,C,48,2010
847920,1350786,896470,1944081,983730,2650635,Total deductions before adjustments,Total des déductions avant rajustements,,,C,49,2010
0,0,0,0,0,0,Social benefits repayment,Remboursement des prestations de programmes sociaux,,,D,50,2010
1939130,42063974,1648700,43351623,1591810,49055470,Net income after adjustments,Revenu net après rajustement,,,D,51,2010
40,171,60,640,90,1032,Canadian Forces personnel and police deduction,"Déduction pour le personnel des Forces canadiennes, des forces policières",,,E,52,2010
10,0,0,0,0,0,Employee home relocation loan deduction,Déduction pour prêts à la réinstallation d'employés,,,E,53,2010
340,498,350,606,430,781,Security options deductions,Déductions pour options d'achat de titres,,,E,54,2010
390720,1977580,160000,1084750,109420,815897,Other payments deductions,Déduction pour autres paiements,,,E,55,2010
20,22,20,50,20,56,Limited partnership losses of other years,Pertes comme commanditaire d'autres années,,,E,56,2010
4610,21462,3590,20506,2790,18898,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,,,E,57,2010
23500,24842,25080,30512,28410,37048,Net capital losses of other years,Pertes en capital nettes d'autres années,,,E,58,2010
1510,6174,1860,11160,2120,14243,Capital gains deduction,Déduction pour gains en capital,,,E,59,2010
13890,36495,13970,39152,13650,40257,Northern residents deductions,Déductions pour les habitants de régions éloignées,,,E,60,2010
29780,107126,19670,83508,16450,77647,Additional deductions,Déductions supplémentaires,,,E,61,2010
1180,5712,1110,7034,960,6937,Farming/fishing losses of prior years,"Pertes provenant de la pêche, pertes agricoles d'autres années",,,E,62,2010
445350,2180082,216950,1277919,167840,1012795,Total deductions from net income,Total des déductions du revenu net,,,E,63,2010
1919660,39887994,1641230,42076232,1587180,48044916,Taxable income assessed,Revenu imposable établi,,,E,64,2010
1938200,20077907,1647830,17077631,1591110,16498481,Basic personal amount,Montant personnel de base,,,F,65,2010
596810,3845905,408830,2634019,366160,2333501,Age amount,Montant en raison de l'âge,,,F,66,2010
192160,1224999,147650,965776,128420,860979,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,,,F,67,2010
85190,843540,72440,713236,67030,656850,Amount for eligible dependant,Montant pour personne à charge admissible,,,F,68,2010
220350,791309,212940,755089,220670,778195,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,,,F,69,2010
980,3297,950,3413,980,3311,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus ayant une déficience,,,F,70,2010
1034120,789336,1019380,1000890,1043180,1284871,CPP or QPP contributions through employment,Cotisations demployé au RPC ou au RRQ,,,F,71,2010
152060,97705,120170,92081,98690,84870,CPP or QPP contributions self-employment and other eligible earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,,,F,72,2010
1023530,308634,1009850,375069,1029440,463548,Employment Insurance premiums,Cotisations à l'assurance-emploi,,,F,73,2010
400,118,290,100,240,97,Employment Insurance premiums on self-employment and other eligible earnings,Cotisations à lassurance-emploi pour le revenu dun travail indépendant et pour dautres revenus ad,,,F,74,2010
281500,26011,289840,33289,307400,43150,PPIP premiums paid,Cotisations au RPAP,,,F,75,2010
5820,404,5610,494,5710,631,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,,,F,76,2010
40350,2989,30510,2491,24020,2066,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,,,F,77,2010
1168270,1185986,1148690,1162023,1177900,1187196,Canada employment amount,Montant canadien pour emploi,,,F,78,2010
121790,84869,109670,83423,104110,83381,Public transit amount,Montant pour le transport en commun,,,F,79,2010
55610,24069,65530,28463,77180,33840,Children's fitness amount,Montant pour la condition physique des enfants,,,F,80,2010
8080,35050,11620,50966,15050,66697,Home buyers' amount,Montant pour l'achat d'une habitation,,,F,81,2010
90,389,120,552,140,705,Adoption expenses,Frais d'adoption,,,F,82,2010
566220,1083530,443750,867775,428440,843072,Pension income amount,Montant pour revenu de pension,,,F,83,2010
13230,54144,14720,61866,15970,67958,Caregiver amount,Montant pour aidants naturels,,,F,84,2010
73750,531440,57610,416508,48460,350599,Disability amount,Montant pour personnes handicapées,,,F,85,2010
11290,97144,12580,110607,14270,127717,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,,,F,86,2010
48980,20407,57980,24770,63040,28309,Interest paid on student loans,Intérêts payés sur des prêts étudiants,,,F,87,2010
211500,1170150,168770,1008168,136790,813923,"Tuition, education, and textbook amounts","Frais de scolarité, montant relatif aux études, montant pour manuels",,,F,88,2010
19500,80474,26030,112589,32900,147727,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études, manuels transférés d'un enfant",,,F,89,2010
129350,666119,99140,482499,79850,351983,Amounts transferred from spouse,Montants transférés d'un époux ou conjoint de fait,,,F,90,2010
558260,1094579,481540,1021645,442660,993986,Allowable portion of medical expenses,Montant admissible des frais médicaux,,,F,91,2010
1938650,5121076,1648180,4362815,1591420,4216146,Total tax credits on personal amounts,Crédits d'impôt nets alloués,,,F,92,2010
327380,192115,364960,252858,416670,322444,Allowable charitable donations and government gifts,"Dons de bienfaisance, dons aux gouvernements admissibles",,,G,93,2010
430,323,410,399,460,412,"Eligible cultural, ecological gifts",Montants admissibles des dons de biens culturels ou écosensibles,,,G,94,2010
322880,49263,360500,66251,412170,85375,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,,,G,95,2010
1938680,5170339,1648240,4429066,1591460,4301521,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,,,G,96,2010
173550,37617,192910,61622,223610,90064,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,,,H,97,2010
30,22,60,57,70,106,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,,,H,98,2010
1360,1030,1610,1711,1750,2500,Minimum tax carryover,Report d'impôt minimum,,,H,99,2010
1284350,1232346,1356070,1996051,1443840,2900063,Basic federal tax,impôt fédéral de base,,,H,100,2010
37580,2444,47240,3771,57820,5153,Federal foreign tax credit,Crédit fédéral pour impôt étranger,,,H,101,2010
4510,452,6100,664,7810,903,Federal political contribution tax  credit,Crédit d'impôt pour contributions politiques fédérales,,,H,102,2010
1240,504,1280,668,1400,876,Investment tax credit,Crédit d'impôt à l'investissement,,,H,103,2010
6280,1494,11470,2487,20140,5767,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,,,H,104,2010
30,223,30,64,40,84,Alternative minimum tax payable,Impôt minimum de remplacement à payer,,,H,105,2010
1277190,1228373,1351680,1988948,1440370,2888503,Net federal tax,Impôt fédéral net,,,H,106,2010
114200,147694,91560,142832,76180,134717,CPP contributions payable on self-employment and other earnings,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,,,I,107,2010
400,118,290,100,240,97,Employment  Insurance premiums payable on self-employment and other eligible,Cotisations à lassurance-emploi à payer pour le revenu dun travail indépendant et pour d'autres re,,,I,108,2010
0,0,0,0,0,0,Social benefits repayment,Remboursement des prestations de programmes sociaux,,,I,109,2010
996270,479427,1041740,831881,1071670,1155374,Net provincial or territorial tax,Impôt provincial ou territorial net,,,I,110,2010
1471530,1855679,1471950,2963864,1509020,4178849,Total tax payable,Total à payer,,,I,111,2010
35000 - 39999 #,35000 - 39999 $,40000 - 44999 #,40000 - 44999 $,45000 - 49999 #,45000 - 49999 $,item_e,item_f,prove,provf,code1,code2,taxyr
1451660,0,1342350,0,1126670,0,Number of taxable returns,Nombre de déclarations imposables,,,A,1,2010
43760,0,25140,0,15670,0,Number of non-taxable returns,Nombre de déclarations non imposables,,,A,2,2010
1495420,0,1367490,0,1142340,0,Total number of returns,Nombre total de déclarations,,,A,3,2010
1097730,35246180,1018870,37200829,897520,37146238,Employment income,Revenus d'emploi,,,B,4,2010
28530,241228,27140,285263,24760,318126,Commissions (from employment),Commissions (d'emploi),,,B,5,2010
159710,500087,158540,477596,139610,430123,Other employment income,Autres revenus d'emploi,,,B,6,2010
277170,1697044,243390,1491672,168080,1029101,Old Age Security pension,Pension de la sécurité de la vieillesse,,,B,7,2010
398850,2971264,359280,2659912,261020,1969924,Canada Pension Plan (CPP) or Quebec Pension Plan (QPP) benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),,,B,8,2010
333650,5935504,312660,6587674,232520,5925952,Other pensions or superannuation,Autres pensions et pensions de retraite,,,B,9,2010
95020,1202761,108430,1361861,46850,570158,Elected split-pension amount,Choix du montant de pension fractionné,,,B,10,2010
89250,129164,74070,107945,59700,87115,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),,,B,11,2010
256260,1809765,205770,1390338,156860,1026656,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,,,B,12,2010
239030,958985,252050,1174804,218560,1173436,Taxable amount of dividends,Montant imposable des dividendes,,,B,13,2010
410930,781426,398900,798462,329080,652188,Interest and other investment income,Intérêts et autres revenus de placements,,,B,14,2010
7300,3107,8420,4176,7720,3929,Net partnership income,Revenus nets de société de personnes,,,B,15,2010
0,0,0,0,0,0,Registered disability savings plan (RDSP) income,Revenus dun régime enregistré dépargne-invalidité (REEI),,,B,16,2010
84690,174700,83950,180417,73180,151532,Net rental income,Revenus nets de location,,,B,17,2010
102620,243257,109410,283189,95600,280363,Taxable capital gains,Gains en capital imposables,,,B,18,2010
6210,67635,5190,60605,4280,57993,Support payments received,Pension alimentaire reçue,,,B,19,2010
180520,790157,177460,814462,154690,716232,Registered Retirement Savings Plan (RRSP) income,Revenu d'un régime enregistré d'épargne-retraite (REER),,,B,20,2010
258160,727109,256070,751115,215480,652475,Other income,Autres revenus,,,B,21,2010
99660,1353020,89950,1248925,73610,1057973,Net business income,Revenus nets d'entreprise,,,B,22,2010
12340,188444,12180,204758,11160,205181,Net professional income,Revenus nets de profession libérale,,,B,23,2010
11200,151769,10430,158066,8770,151215,Net commission income,Revenus nets de commissions,,,B,24,2010
20340,109520,20890,154588,16260,95179,Net farming income,Revenus nets d'agriculture,,,B,25,2010
2250,33150,2000,34953,1360,26446,Net fishing income,Revenus nets de pêche,,,B,26,2010
59280,565550,49300,483953,40300,410253,Workers' compensation benefits,Indemnités pour accidents du travail,,,B,27,2010
11580,64469,6790,35572,4310,22212,Social assistance payments,Prestations d'assistance sociale,,,B,28,2010
15060,41414,7960,20741,4040,11370,Net federal supplements,Versement net des suppléments fédéraux,,,B,29,2010
1495420,55986722,1367490,57971902,1142340,54171371,Total income assessed,Revenu total établi,,,B,30,2010
341200,548659,360270,707817,357790,828452,Registered pension plan (RPP) contributions,Cotisations à un régime de pension agréé (RPA),,,C,31,2010
422810,1067218,446760,1276272,434980,1424475,RRSP deduction,Cotisations à un REER,,,C,32,2010
160,84,140,73,120,66,Saskatchewan Pension Plan (SPP) deduction,Déduction pour le Régime de pensions de la Saskatchewan (RPS),,,C,33,2010
108430,685621,108120,821734,99000,939700,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,,,C,34,2010
411840,204305,408440,229464,386420,246165,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",,,C,35,2010
440,290,330,205,240,160,Universal Child Care Benefit repayment,Remboursement de la prestation universelle pour la garde d'enfants,,,C,36,2010
107100,360455,93260,340035,79790,306292,Child care expenses,Frais de garde d'enfants,,,C,37,2010
100,298,80,277,70,262,Disability supports deductions,Déductions pour produits et services de soutien aux personnes handicapées,,,C,38,2010
570,11651,610,12652,590,10221,Business investment loss,Perte au titre d'un placement d'entreprise,,,C,39,2010
7010,20240,6360,21224,5630,21162,Moving expenses,Frais de déménagement,,,C,40,2010
3560,19098,3910,21970,3750,23041,Support payments made,Pension alimentaire payée,,,C,41,2010
153940,122138,157780,135355,139690,134566,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,,,C,42,2010
84740,79559,76280,77709,59300,66586,Deductions for CPP or QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autre,,,C,43,2010
19540,1399,17300,1342,13680,1154,Deduction for provincial parental insurance plan (PPIP) premiums on self-empl,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un tra,,,C,44,2010
1750,4712,2160,5942,2240,7674,Exploration and development expenses,Frais d'exploration et d'aménagement,,,C,45,2010
47780,155182,51670,178074,52610,199745,Other employment expenses,Autres dépenses d'emploi,,,C,46,2010
2300,20434,2540,25260,2600,28905,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,,,C,47,2010
66590,57644,56200,53383,44580,49131,Other deductions,Autres déductions,,,C,48,2010
1034070,3358989,1007140,3908788,906420,4287756,Total deductions before adjustments,Total des déductions avant rajustements,,,C,49,2010
0,0,0,0,10,1,Social benefits repayment,Remboursement des prestations de programmes sociaux,,,D,50,2010
1495180,52635382,1367290,54069252,1142190,49887709,Net income after adjustments,Revenu net après rajustement,,,D,51,2010
150,1980,390,4844,870,14674,Canadian Forces personnel and police deduction,"Déduction pour le personnel des Forces canadiennes, des forces policières",,,E,52,2010
10,1,0,0,0,0,Employee home relocation loan deduction,Déduction pour prêts à la réinstallation d'employés,,,E,53,2010
570,1159,710,1568,790,1655,Security options deductions,Déductions pour options d'achat de titres,,,E,54,2010
83350,671434,62590,540267,47780,443834,Other payments deductions,Déduction pour autres paiements,,,E,55,2010
40,127,60,206,60,165,Limited partnership losses of other years,Pertes comme commanditaire d'autres années,,,E,56,2010
2230,17109,1720,14771,1330,11931,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,,,E,57,2010
29920,40853,32770,45920,29840,48823,Net capital losses of other years,Pertes en capital nettes d'autres années,,,E,58,2010
2200,18928,2520,26095,2440,29974,Capital gains deduction,Déduction pour gains en capital,,,E,59,2010
13190,39744,12800,39350,11860,38258,Northern residents deductions,Déductions pour les habitants de régions éloignées,,,E,60,2010
13040,65836,10780,56269,7790,49128,Additional deductions,Déductions supplémentaires,,,E,61,2010
870,6648,740,5840,640,5637,Farming/fishing losses of prior years,"Pertes provenant de la pêche, pertes agricoles d'autres années",,,E,62,2010
140270,863819,120550,735130,99710,644080,Total deductions from net income,Total des déductions du revenu net,,,E,63,2010
1492000,51773690,1365450,53335720,1140890,49248769,Taxable income assessed,Revenu imposable établi,,,E,64,2010
1494570,15501715,1366750,14179193,1141680,11845178,Basic personal amount,Montant personnel de base,,,F,65,2010
298590,1763348,261270,1396296,182370,881501,Age amount,Montant en raison de l'âge,,,F,66,2010
114090,780343,98530,680404,86000,598939,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,,,F,67,2010
61600,601494,51770,503795,42550,413324,Amount for eligible dependant,Montant pour personne à charge admissible,,,F,68,2010
223910,785840,212180,744598,195250,688283,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,,,F,69,2010
980,3348,950,3151,870,2934,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus ayant une déficience,,,F,70,2010
1036660,1537446,958860,1644091,848200,1640709,CPP or QPP contributions through employment,Cotisations demployé au RPC ou au RRQ,,,F,71,2010
84740,79559,76280,77709,59300,66586,CPP or QPP contributions self-employment and other eligible earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,,,F,72,2010
1021740,542927,946040,573483,834280,540467,Employment Insurance premiums,Cotisations à l'assurance-emploi,,,F,73,2010
220,104,180,105,130,76,Employment Insurance premiums on self-employment and other eligible earnings,Cotisations à lassurance-emploi pour le revenu dun travail indépendant et pour dautres revenus ad,,,F,74,2010
298190,49288,253300,47190,216150,45711,PPIP premiums paid,Cotisations au RPAP,,,F,75,2010
5860,780,6360,1009,6610,1225,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,,,F,76,2010
19900,1809,17580,1732,13960,1492,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,,,F,77,2010
1165280,1175042,1079860,1090125,942940,957882,Canada employment amount,Montant canadien pour emploi,,,F,78,2010
100810,85476,91970,80578,81950,73745,Public transit amount,Montant pour le transport en commun,,,F,79,2010
86810,38781,89880,41461,89470,42326,Children's fitness amount,Montant pour la condition physique des enfants,,,F,80,2010
17180,76781,17460,78335,16410,74629,Home buyers' amount,Montant pour l'achat d'une habitation,,,F,81,2010
160,837,170,1030,180,1111,Adoption expenses,Frais d'adoption,,,F,82,2010
377320,743485,358750,708130,258740,509953,Pension income amount,Montant pour revenu de pension,,,F,83,2010
16190,69685,15310,66602,13750,60079,Caregiver amount,Montant pour aidants naturels,,,F,84,2010
38030,275250,30200,218512,21910,158586,Disability amount,Montant pour personnes handicapées,,,F,85,2010
14970,136568,14570,135871,13140,123545,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,,,F,86,2010
62130,29107,56610,27642,48900,24710,Interest paid on student loans,Intérêts payés sur des prêts étudiants,,,F,87,2010
111880,646308,93540,511664,76320,400894,"Tuition, education, and textbook amounts","Frais de scolarité, montant relatif aux études, montant pour manuels",,,F,88,2010
39250,179412,41200,190771,41000,192676,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études, manuels transférés d'un enfant",,,F,89,2010
60530,249775,42590,178878,31200,135985,Amounts transferred from spouse,Montants transférés d'un époux ou conjoint de fait,,,F,90,2010
373040,867738,306730,780738,216420,574069,Allowable portion of medical expenses,Montant admissible des frais médicaux,,,F,91,2010
1494840,3933337,1366980,3594464,1141860,3008492,Total tax credits on personal amounts,Crédits d'impôt nets alloués,,,F,92,2010
434600,359012,430830,379621,391960,361398,Allowable charitable donations and government gifts,"Dons de bienfaisance, dons aux gouvernements admissibles",,,G,93,2010
470,579,490,681,370,645,"Eligible cultural, ecological gifts",Montants admissibles des dons de biens culturels ou écosensibles,,,G,94,2010
430440,95804,427200,101802,388840,97302,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,,,G,95,2010
1494870,4029141,1367010,3696266,1141880,3105794,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,,,G,96,2010
235830,123784,251470,158862,218900,163653,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,,,H,97,2010
130,247,160,356,190,563,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,,,H,98,2010
1670,2973,1700,3692,1570,3843,Minimum tax carryover,Report d'impôt minimum,,,H,99,2010
1412130,3659854,1315950,4228798,1109940,4409590,Basic federal tax,impôt fédéral de base,,,H,100,2010
63490,6731,69310,8329,61920,9800,Federal foreign tax credit,Crédit fédéral pour impôt étranger,,,H,101,2010
8610,1062,9840,1251,8830,1157,Federal political contribution tax  credit,Crédit d'impôt pour contributions politiques fédérales,,,H,102,2010
1450,990,1520,1202,1380,1135,Investment tax credit,Crédit d'impôt à l'investissement,,,H,103,2010
27330,8679,26140,9467,26770,10890,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,,,H,104,2010
60,107,60,227,80,120,Alternative minimum tax payable,Impôt minimum de remplacement à payer,,,H,105,2010
1409420,3643513,1313810,4209744,1108160,4387857,Net federal tax,Impôt fédéral net,,,H,106,2010
65990,127837,59680,125088,46890,107414,CPP contributions payable on self-employment and other earnings,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,,,I,107,2010
220,104,180,105,130,76,Employment  Insurance premiums payable on self-employment and other eligible,Cotisations à lassurance-emploi à payer pour le revenu dun travail indépendant et pour d'autres re,,,I,108,2010
0,0,0,0,10,1,Social benefits repayment,Remboursement des prestations de programmes sociaux,,,I,109,2010
1047490,1450256,993950,1758425,842840,1812223,Net provincial or territorial tax,Impôt provincial ou territorial net,,,I,110,2010
1451660,5221941,1342350,6093591,1126670,6307899,Total tax payable,Total à payer,,,I,111,2010
50000 - 54999 #,50000 - 54999 $,55000 - 59999 #,55000 - 59999 $,60000 - 69999 #,60000 - 69999 $,item_e,item_f,prove,provf,code1,code2,taxyr
965370,0,826030,0,1331490,0,Number of taxable returns,Nombre de déclarations imposables,,,A,1,2010
9910,0,6180,0,7420,0,Number of non-taxable returns,Nombre de déclarations non imposables,,,A,2,2010
975280,0,832210,0,1338910,0,Total number of returns,Nombre total de déclarations,,,A,3,2010
786920,36236998,687180,34815790,1118710,64221138,Employment income,Revenus d'emploi,,,B,4,2010
22300,345198,19770,354923,33580,725786,Commissions (from employment),Commissions (d'emploi),,,B,5,2010
124750,384071,111720,336324,193920,578967,Other employment income,Autres revenus d'emploi,,,B,6,2010
128630,786589,102990,629481,164370,1003328,Old Age Security pension,Pension de la sécurité de la vieillesse,,,B,7,2010
204260,1552756,163820,1244668,250320,1902132,Canada Pension Plan (CPP) or Quebec Pension Plan (QPP) benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),,,B,8,2010
184680,5288821,149400,4619571,229640,7584630,Other pensions or superannuation,Autres pensions et pensions de retraite,,,B,9,2010
29610,353675,25380,318070,51570,726780,Elected split-pension amount,Choix du montant de pension fractionné,,,B,10,2010
47950,70189,37480,54717,53340,77879,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),,,B,11,2010
120550,762846,92280,564951,126990,727517,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,,,B,12,2010
198820,1326230,177300,1195396,317460,2586588,Taxable amount of dividends,Montant imposable des dividendes,,,B,13,2010
283450,576773,246960,523345,417870,968461,Interest and other investment income,Intérêts et autres revenus de placements,,,B,14,2010
7490,3964,7140,4226,14470,7238,Net partnership income,Revenus nets de société de personnes,,,B,15,2010
0,0,0,0,0,0,Registered disability savings plan (RDSP) income,Revenus dun régime enregistré dépargne-invalidité (REEI),,,B,16,2010
66330,144366,58990,128616,100930,237862,Net rental income,Revenus nets de location,,,B,17,2010
86730,281358,79610,289357,143720,614041,Taxable capital gains,Gains en capital imposables,,,B,18,2010
3530,49688,2820,42419,4100,80262,Support payments received,Pension alimentaire reçue,,,B,19,2010
135990,658702,118390,608485,191820,1083969,Registered Retirement Savings Plan (RRSP) income,Revenu d'un régime enregistré d'épargne-retraite (REER),,,B,20,2010
186300,584119,164140,538198,281720,965001,Other income,Autres revenus,,,B,21,2010
61840,937691,52610,833681,84570,1409209,Net business income,Revenus nets d'entreprise,,,B,22,2010
10420,206994,9710,207713,17660,423040,Net professional income,Revenus nets de profession libérale,,,B,23,2010
7340,144293,6320,133767,10590,265664,Net commission income,Revenus nets de commissions,,,B,24,2010
13850,89272,11730,74903,19990,140222,Net farming income,Revenus nets d'agriculture,,,B,25,2010
1130,24813,880,22231,1210,32365,Net fishing income,Revenus nets de pêche,,,B,26,2010
31340,299837,24940,231066,33740,316928,Workers' compensation benefits,Indemnités pour accidents du travail,,,B,27,2010
2730,13300,1820,7978,2200,9282,Social assistance payments,Prestations d'assistance sociale,,,B,28,2010
2440,7059,1670,4663,2310,6714,Net federal supplements,Versement net des suppléments fédéraux,,,B,29,2010
975280,51129604,832210,47784539,1338910,86695008,Total income assessed,Revenu total établi,,,B,30,2010
341600,914093,323710,989447,548640,1985698,Registered pension plan (RPP) contributions,Cotisations à un régime de pension agréé (RPA),,,C,31,2010
406210,1483952,369010,1466396,635460,2859170,RRSP deduction,Cotisations à un REER,,,C,32,2010
110,61,90,51,120,65,Saskatchewan Pension Plan (SPP) deduction,Déduction pour le Régime de pensions de la Saskatchewan (RPS),,,C,33,2010
83360,954301,67150,887391,98110,1415179,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,,,C,34,2010
357740,254112,330540,259468,554110,486632,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",,,C,35,2010
190,128,150,102,220,147,Universal Child Care Benefit repayment,Remboursement de la prestation universelle pour la garde d'enfants,,,C,36,2010
67110,270904,55050,230740,83590,368604,Child care expenses,Frais de garde d'enfants,,,C,37,2010
50,302,50,157,80,381,Disability supports deductions,Déductions pour produits et services de soutien aux personnes handicapées,,,C,38,2010
590,13347,490,9911,870,19355,Business investment loss,Perte au titre d'un placement d'entreprise,,,C,39,2010
4930,20809,4390,22428,7390,41841,Moving expenses,Frais de déménagement,,,C,40,2010
3890,25667,3600,25052,7050,53257,Support payments made,Pension alimentaire payée,,,C,41,2010
127210,135576,114930,129320,202590,252153,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,,,C,42,2010
42370,55302,32090,45049,46620,69416,Deductions for CPP or QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autre,,,C,43,2010
11900,1085,9950,974,14300,1661,Deduction for provincial parental insurance plan (PPIP) premiums on self-empl,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un tra,,,C,44,2010
2320,9019,2350,10071,4970,24205,Exploration and development expenses,Frais d'exploration et d'aménagement,,,C,45,2010
51800,212264,48990,211726,86390,399058,Other employment expenses,Autres dépenses d'emploi,,,C,46,2010
