#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under/Moins de 4 999 #,4999 and under/Moins de 4 999 $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
86,Disability amount,Montant pour personnes handicapées,2012, 591320,4458876,27410,211087,45180,341484,85670,644079,81480,612808,73610,552582,55330,417067,47070,354958,37660,284090,30820,232571,21900,165236,16690,125914,12870,97085,18530,139811,11200,84557,6890,51999,4450,33557,8670,65406,3650,27525,2260,17059
87,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 200810,1977249,5740,62740,4540,48916,6700,69950,8740,83346,9980,89706,11170,100476,12570,115724,13680,128483,13470,128057,12740,124148,11420,112324,10270,101776,17210,172302,14380,147364,11320,115710,9050,93005,18120,185763,6700,67568,3020,29894
88,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 600420,314103,4050,1750,3900,1518,12370,4433,29210,12099,41950,18272,50690,23266,57440,27615,59090,29669,53830,28628,47590,26071,41230,23405,35820,21179,56560,35021,39170,23467,24240,13726,15030,8298,21510,11922,5260,2918,1500,847
89,"Tuition, education, and textbook amounts","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 1639220,8445074,420,533,860,1782,171450,184696,283110,1008467,208960,1191399,165310,1076822,137300,921716,113420,767081,94570,625515,76480,485858,63600,391595,54430,348227,84040,518609,58630,294770,39830,190848,27690,123341,44140,225472,11180,67162,3820,21182
90,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 694350,3497986,580,2056,560,1898,2460,5524,8740,30398,16410,68481,22500,99283,29060,132749,34790,162372,38170,180529,38080,182807,37070,178813,35910,175407,65480,323039,63910,319932,55950,287573,49660,261821,114430,618989,51490,291490,29100,174827
91,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 1197300,5912744,152040,700703,70790,319879,165520,872449,164730,888771,139000,751688,101660,526914,79350,385716,61200,284359,43760,202547,32650,152424,26090,120701,21920,101217,34390,156752,25470,113482,19140,84023,14430,61736,29920,125532,10800,44965,4430,18885
92,Medical expenses,Montant admissible des frais médicaux,2012, 4319290,10411344,95620,94333,116420,130815,221660,293704,459320,843898,557550,1105080,482280,1041972,452820,1038777,395930,945514,337620,868561,238670,631896,181050,495454,139320,399196,196980,613175,122330,397576,73670,264400,50700,194492,110430,476421,52230,294559,34700,281520
93,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 25420270,66016136,2457530,4649234,1786380,3673034,2241250,5168842,2480400,6566291,1913720,5334326,1563100,4367250,1511850,4235724,1447720,4032933,1361060,3773476,1146700,3181596,990260,2745521,854470,2372779,1392840,3853843,1062750,2939250,786700,2187027,595990,1675291,1170070,3334803,442600,1285023,214890,639894
94,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 5661940,8571767,11220,2441,17520,5129,57640,21389,162350,106745,285170,172415,317600,220224,366630,287437,389890,350608,398770,358333,366240,338637,336640,324437,308100,311773,532580,594277,440370,513363,353110,440927,287380,386067,613330,1045870,266460,779923,150960,2311774
95,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 8240,64362,90,92,100,94,250,181,480,244,620,490,580,6349,600,499,620,622,590,710,550,793,440,681,440,904,690,1673,510,1536,400,1721,300,1085,610,4291,250,5915,130,36480
96,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 5621740,2368104,10330,507,16580,1267,56120,5030,159110,21106,281370,42277,313940,57899,363000,76213,386290,86600,395490,96214,363450,91180,334270,87598,306120,84512,529710,161955,438360,140224,351890,120774,286580,106052,612060,290541,266200,221179,150890,676978
97,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 25421070,68384240,2457630,4649741,1786460,3674301,2241330,5173871,2480450,6587398,1913750,5376603,1563220,4425149,1511890,4311937,1447750,4119533,1361100,3869689,1146750,3272776,990300,2833119,854480,2457291,1392850,4015798,1062760,3079474,786700,2307800,595990,1781343,1170090,3625344,442620,1506202,214950,1316871
98,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 3521780,8224089,10510,20,8370,51,45460,3177,88060,13318,158280,33091,177520,58095,206760,86061,223400,122756,245750,160890,215760,175112,198520,207091,180430,195077,324610,435190,264540,401332,210880,374748,168300,314075,422050,1220465,225550,1206077,147040,3217465
99,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 6010,61420,,,,,20,3,50,22,60,32,60,53,60,68,60,119,90,204,100,276,120,396,120,440,250,1182,290,1675,310,2040,380,2846,1720,17201,1720,24535,620,10329
100,Minimum tax carryover,Report d'impôt minimum,2012, 44510,126722,,,,,320,62,770,370,1380,963,1640,1658,1800,2382,1860,3298,2090,4596,1840,4484,1760,4621,1670,4749,3630,9602,3260,7919,2740,6189,2230,5114,7670,17441,5980,18688,3880,34587
101,Basic federal tax,Impôt fédéral de base,2012, 15972190,116716347,9570,6903,15550,7653,308240,64913,752870,404465,1131650,992873,1227770,1703863,1339070,2564458,1349640,3357284,1300620,4028736,1108630,4203025,962450,4429183,838950,4570763,1374340,9283346,1054840,9001798,782680,8056430,593650,7170185,1166190,19641309,441190,13698367,214300,23530793
102,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 1114640,812809,130,57,230,70,5240,261,16730,1134,34420,2237,44860,3649,56370,5096,63130,6843,71940,8673,64530,9898,59200,10964,55210,11943,102020,28055,87430,30864,70520,31069,58260,30727,154090,120615,95140,145513,75200,365140
103,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 145510,23463,,,,,390,30,1230,127,3990,403,5570,616,7450,863,8470,1069,9710,1249,8890,1180,8400,1163,8110,1147,14770,2217,12060,1882,9560,1557,7740,1304,19280,3585,10950,2474,8960,2596
104,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 40070,85777,,,,,400,37,710,207,860,345,1020,537,1180,753,1140,808,1280,982,1280,957,1240,1169,1160,1172,2280,2350,2140,2184,1970,2047,1800,1990,6260,8352,6080,11395,9270,50490
105,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 336090,149175,20,2,20,3,370,45,2350,443,5820,1420,10820,3010,18370,5450,27300,8644,27660,9879,28210,11223,26950,11541,25560,11305,43020,20097,37580,18649,23720,12645,16800,9345,31780,19129,7840,5092,1890,1255
106,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 34400,171283,70,1348,20,46,20,67,20,80,20,75,30,120,40,174,40,81,40,81,70,233,60,127,120,194,440,589,1400,893,2910,1808,3130,2788,11930,18043,7230,34980,6830,109555
107,Net federal tax,Impôt fédéral net,2012, 15928380,115691859,9680,3638,15690,7103,305210,64647,748350,402869,1124460,988922,1223360,1696684,1335520,2552971,1346710,3340710,1298160,4008774,1106630,4180566,960780,4405087,837520,4545849,1372000,9232246,1053180,8949694,781430,8010470,592640,7128191,1163670,19495730,439820,13538958,213580,23138750
108,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 1148600,1822585,20630,2541,136380,46396,171580,115711,132630,130357,105570,131379,86580,130184,73080,124427,63850,119309,59520,121255,49340,106566,37680,92175,28270,76959,41040,120889,28260,88701,20790,68337,15100,51253,38470,138967,22910,88220,16930,68960
109,Employment Insurance premiums payable on self-employment,Cotisations à l'assurance-emploi à payer pour le revenu d'un travail indépendant et pour d'autres re,2012, 4990,1738,,,500,48,680,108,680,148,550,153,440,150,360,151,300,144,270,135,220,141,180,107,130,89,180,121,110,77,60,44,50,34,80,59,30,19,,
110,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 488770,1337821,,,,,,,,,,,,,,,,,,,,,,,6160,1815,51000,45305,98650,88946,75690,123553,53900,125890,121000,475774,51060,290757,31310,185731
111,Net Provincial Tax,Impôt provincial ou territorial net,2012, 12029270,49000546,5850,987,15220,2515,85610,17275,389890,110474,884630,388311,954370,716439,995040,1023774,992350,1311412,971540,1646231,835200,1719294,728040,1799202,638460,1839127,1062740,3695857,821040,3548230,636280,3320090,493190,3043082,969830,8573768,371610,6032655,178390,10211823
112,Total tax payable,Total à payer,2012, 16944170,167860369,32160,7173,157690,56062,461550,197747,855100,643928,1329180,1508844,1358770,2543604,1416180,3701478,1397090,4771851,1332050,5776687,1129100,6006866,978330,6296940,847420,6464236,1384500,13095374,1059460,12676414,785040,11523187,595070,10348942,1168450,28685022,442070,19950748,214950,33605265
