F1,F2,F3,F4,F5,F6,ITEME,ITEMF,CODE1,CODE2,prove,provf,taxyr,f7
282350,556674,242860,479473,525210,1036146,Pension Income Amount,Montant pour revenu de pension,D,51,,,2008,4
42220,310933,36890,266966,79110,577899,Disability and Caregiver Amounts,Montants pour personnes handicapées et pour aidants naturels,D,52,,,2008,4
176760,733922,153240,592225,330000,1326147,"Tuition, Education, Textbook amounts & Interest on student loans",Montants et intérêts relatifs aux études,D,53,,,2008,4
31820,140365,28460,116911,60280,257276,Amounts Transferred from Spouse,Montants transférés de votre époux ou conjoint de fait,D,54,,,2008,4
247680,596158,186660,542991,434340,1139150,Allowable Portion of Medical Expenses,Montant admissible des frais médicaux,D,55,,,2008,4
1291670,3138682,1090190,2669107,2381850,5807789,Total Tax Credits on Personal Amounts,Crédits d'impôt nets alloués,E,56,,,2008,4
412740,382725,381720,365683,794460,748408,Donations and Gifts,Dons,E,57,,,2008,4
409160,102667,377890,98260,787050,200927,Total Tax Credit on Donations,Crédits d’impôt pour les dons,E,58,,,2008,4
1291670,3241350,1090230,2767367,2381890,6008716,Total Non-Refundable Tax Credits,Total des crédits d'impôt non remboursables fédéraux,F,59,,,2008,4
213200,159525,207870,155707,421070,315231,Federal Dividend Tax Credit,Crédit d'impôt fédéral pour dividendes,F,60,,,2008,4
1252860,4341690,1071030,4579011,2323890,8920701,Basic Federal Tax,Impôt fédéral de base,F,61,,,2008,4
1249210,4321644,1069190,4557265,2318390,8878909,Net Federal Tax,Impôt fédéral net,F,62,,,2008,4
54480,113541,41600,99033,96080,212574,CPP Contr. On Self Employment,Cot. au RPC pour le rev. d'un trav. indép.& pour d’autres rev.,F,63,,,2008,4
941660,1853269,817590,1941872,1759250,3795141,Net Provincial Tax or Territorial Tax,Impôt provincial ou territorial net,F,64,,,2008,4
1268180,6288528,1079010,6598249,2347190,12886777,Total Tax Payable,Total de l'impôt à payer,F,65,,,2008,4
1703350,0,1267540,0,943150,0,Number of Taxable Returns,Nombre de déclarations imposables,A,1,,,2008,5
16690,0,4270,0,4320,0,Number of Non-Taxable Returns,Nombre de déclarations non-imposables,A,2,,,2008,5
1720040,0,1271810,0,947470,0,Total Number of Returns,Nombre total de déclarations,A,3,,,2008,5
1426040,69476044,1072020,61813230,823310,55226444,Employment Income,Revenus d'emploi,B,4,,,2008,5
39800,598410,33380,713051,28560,794152,Commissions (from Employment),Commissions (d'emploi),B,5,,,2008,5
234730,706334,197890,670584,149410,442496,Other Employment Income,Autres revenus d'emploi,B,6,,,2008,5
216620,1245011,158690,912649,92540,536295,Old Age Security Pension,Pension de la Sécurité de la vieillesse,B,7,,,2008,5
317740,2387910,225160,1673082,135730,996242,CPP or QPP Benefits,Prestations du RPC ou du RRQ,B,8,,,2008,5
277980,6505093,191890,4944007,119400,3306751,Other Pensions or Superannuation,Autres pensions ou pensions de retraite,B,9,,,2008,5
74500,108769,42370,64825,30960,44832,Universal Child Care Benefit,Prestation universelle pour la garde d'enfants,B,10,,,2008,5
159890,913153,91630,480882,55940,291558,Employment Insurance Benefits,Prestations d'assurance emploi et autres prestations,B,11,,,2008,5
357830,1968120,301030,2022068,242970,1920147,Taxable Amount of Dividends,Montant imposable des dividendes,B,12,,,2008,5
700270,3886163,540180,3302000,410230,2465748,Investment Income and Other Investment Income,Intérêts et autres revenus de placements,B,13,,,2008,5
0,0,0,0,0,0,Registered Disability Savings Plan Income,Revenus d'un régime enregistré d'épargne-invalidité,B,14,,,2008,5
110400,134155,89270,192644,70730,138621,Net Rental Income,Revenus nets de location,B,15,,,2008,5
128590,464442,112990,492433,89390,488546,Taxable Capital Gains,Gains en capital imposables,B,16,,,2008,5
208480,920114,161210,817715,110440,636518,Registered Retirement Savings Plan Income,Revenu d'un REER,B,17,,,2008,5
112880,1729761,81550,1366248,59870,1092032,Net Business Income,Revenus nets d'entreprise,B,18,,,2008,5
19560,403662,20120,496546,18160,501347,Net Professional Income,Revenus nets de profession libérale,B,19,,,2008,5
12480,248428,8580,244141,8120,246331,Net Commission Income,Revenus nets de commissions,B,20,,,2008,5
24400,154657,18980,144879,13460,143371,Net Farming Income,Revenus nets d'agriculture,B,21,,,2008,5
2170,49044,1030,26617,740,26461,Net Fishing Income,Revenus nets de pêche,B,22,,,2008,5
70250,568870,43390,328307,24530,221043,Tax Exempt Income,Revenus non imposables,B,23,,,2008,5
370480,1615409,300930,1671696,235210,1247259,Other Income,Autres revenus,B,24,,,2008,5
1720040,94083547,1271810,82377603,947470,70766197,Total Income Assessed,Revenu total établi,C,25,,,2008,5
644030,1772894,540710,1876679,426450,1793953,Registered Pension Plan Contributions,Déductions pour RPA,C,26,,,2008,5
788480,3223711,631110,2825103,526630,2797198,Registered Retirement Savings Plan Contributions,Déductions pour REER,C,27,,,2008,5
126950,1573987,89570,1220169,59940,828525,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,C,28,,,2008,5
678470,501051,546360,471574,431600,414921,Union and Professional Dues,"Cotisations annuelles syndicales, professionnelles et semblables",C,29,,,2008,5
112440,448237,71360,298357,54270,245387,Child Care Expenses,Frais de garde d'enfants,C,30,,,2008,5
252550,299902,211090,289341,177980,278297,Carrying Charges & Interest Expenses,Frais financiers et frais d'intérêts,C,31,,,2008,5
69380,93245,46060,66507,32050,50275,CPP or QPP contributions on self-employed earnings,"Déd., cotisations au RPC/RRQ pour le revenu d'un travail indép./autres revenus",C,32,,,2008,5
105700,437665,83700,388067,69350,360538,Other Employment Expenses,Autres dépenses d'emploi,C,33,,,2008,5
115170,384889,86110,300255,62240,322904,Other Deductions (from Total Income),Autres déductions (du revenu total),C,34,,,2008,5
39000,25192,77220,62498,86160,102694,Social Benefits Repayment,Remboursement des prestations de programmes sociaux,C,35,,,2008,5
1472550,8760773,1138850,7798550,880410,7194693,Total Deductions,Total des déductions (du revenu net),C,36,,,2008,5
1718940,85478419,1271660,74587924,947070,63593179,Net Income,Revenu net,C,37,,,2008,5
4610,79375,5120,107739,3100,77861,Capital Gains Deduction,Déduction pour gains en capital,C,38,,,2008,5
24500,62771,22420,62278,15920,64937,Losses from Other Years,Pertes d'autres années,C,39,,,2008,5
104310,849196,75320,524829,50790,381849,Additional Deductions (from Net Income),Déductions supplémentaires (du revenu net),C,40,,,2008,5
130440,991343,100660,700020,68120,526220,Total Deductions from Net Income,Total des déductions (du revenu net),C,41,,,2008,5
1715970,84487213,1271540,73888103,946710,63071501,Taxable Income Assessed,Revenu imposable établi,D,42,,,2008,5
220840,597398,148310,220630,42690,66889,Age Amount,Montant en raison de l'âge,D,43,,,2008,5
1718980,19176928,1270990,14275501,946660,10790436,Other Federal Non-Refundable Tax Credits,Autres crédits d’impôt non remboursables fédéraux,D,44,,,2008,5
1407720,2745094,1057120,2089803,817350,1631545,CPP or QPP Contributions,Cotisations au RPC ou au RRQ,D,45,,,2008,5
1333450,857394,999310,654787,764690,507317,Employment Insurance Premiums,Cotisations à l'assurance-emploi,D,46,,,2008,5
347290,77028,242620,60729,171730,44352,Provincial Parental Insurance Plan,Cotisations au Régime provincial d'assurance parentale,D,47,,,2008,5
1477520,1467817,1103950,1105122,843660,847471,Canada Employment Amount,Montant canadien pour emploi,D,48,,,2008,5
126700,105243,92250,77892,68080,59313,Public Transit Passes Amount,Montant pour le coût des laissez-passer de transport en commun,D,49,,,2008,5
164350,76912,143360,75382,128730,68445,Children's Fitness Amount,Montant pour la condition physique des enfants,D,50,,,2008,5
326870,642843,234770,462796,148930,293636,Pension Income Amount,Montant pour revenu de pension,D,51,,,2008,5
58630,454930,35120,266441,26170,213106,Disability and Caregiver Amounts,Montants pour personnes handicapées et pour aidants naturels,D,52,,,2008,5
247180,940773,178970,661789,144220,514310,"Tuition, Education, Textbook amounts & Interest on student loans",Montants et intérêts relatifs aux études,D,53,,,2008,5
39230,156547,29110,114118,20470,80873,Amounts Transferred from Spouse,Montants transférés de votre époux ou conjoint de fait,D,54,,,2008,5
241740,670819,144810,431762,88390,291706,Allowable Portion of Medical Expenses,Montant admissible des frais médicaux,D,55,,,2008,5
1719330,4194411,1271210,3073728,947020,2310812,Total Tax Credits on Personal Amounts,Crédits d'impôt nets alloués,E,56,,,2008,5
659750,661890,542920,653852,442550,541315,Donations and Gifts,Dons,E,57,,,2008,5
654440,178539,539010,178065,440080,147461,Total Tax Credit on Donations,Crédits d’impôt pour les dons,E,58,,,2008,5
1719350,4372950,1271210,3251793,947040,2458273,Total Non-Refundable Tax Credits,Total des crédits d'impôt non remboursables fédéraux,F,59,,,2008,5
338990,298462,285920,303404,230070,279823,Federal Dividend Tax Credit,Crédit d'impôt fédéral pour dividendes,F,60,,,2008,5
1697440,9426759,1265420,9337260,942490,8630964,Basic Federal Tax,Impôt fédéral de base,F,61,,,2008,5
1692880,9378591,1262830,9286733,940550,8584941,Net Federal Tax,Impôt fédéral net,F,62,,,2008,5
54880,149421,35680,103869,24670,77519,CPP Contr. On Self Employment,Cot. au RPC pour le rev. d'un trav. indép.& pour d’autres rev.,F,63,,,2008,5
1294400,3857293,988370,3776432,752030,3507452,Net Provincial Tax or Territorial Tax,Impôt provincial ou territorial net,F,64,,,2008,5
1703350,13410604,1267540,13230749,943150,12272999,Total Tax Payable,Total de l'impôt à payer,F,65,,,2008,5
692230,0,452510,0,5058770,0,Number of Taxable Returns,Nombre de déclarations imposables,A,1,,,2008,6
1100,0,450,0,26830,0,Number of Non-Taxable Returns,Nombre de déclarations non-imposables,A,2,,,2008,6
693330,0,452950,0,5085600,0,Total Number of Returns,Nombre total de déclarations,A,3,,,2008,6
615050,46961878,402320,33933221,4338730,267410817,Employment Income,Revenus d'emploi,B,4,,,2008,6
20960,739553,17070,613347,139770,3458513,Commissions (from Employment),Commissions (d'emploi),B,5,,,2008,6
115270,391417,83100,318929,780400,2529760,Other Employment Income,Autres revenus d'emploi,B,6,,,2008,6
57010,331069,36230,206833,561100,3231857,Old Age Security Pension,Pension de la Sécurité de la vieillesse,B,7,,,2008,6
83840,617722,52650,386928,815120,6061886,CPP or QPP Benefits,Prestations du RPC ou du RRQ,B,8,,,2008,6
76230,2166267,47770,1484874,713270,18406993,Other Pensions or Superannuation,Autres pensions ou pensions de retraite,B,9,,,2008,6
20590,30633,10920,16678,179340,265738,Universal Child Care Benefit,Prestation universelle pour la garde d'enfants,B,10,,,2008,6
35020,158703,17810,74353,360300,1918649,Employment Insurance Benefits,Prestations d'assurance emploi et autres prestations,B,11,,,2008,6
196690,1711624,143240,1414046,1241750,9036004,Taxable Amount of Dividends,Montant imposable des dividendes,B,12,,,2008,6
310160,1866048,211480,1300839,2172310,12820798,Investment Income and Other Investment Income,Intérêts et autres revenus de placements,B,13,,,2008,6
30,19,0,0,30,19,Registered Disability Savings Plan Income,Revenus d'un régime enregistré d'épargne-invalidité,B,14,,,2008,6
56460,137431,41670,106123,368520,708974,Net Rental Income,Revenus nets de location,B,15,,,2008,6
71540,428674,53630,392507,456130,2266602,Taxable Capital Gains,Gains en capital imposables,B,16,,,2008,6
80050,437612,54140,407895,614320,3219854,Registered Retirement Savings Plan Income,Revenu d'un REER,B,17,,,2008,6
43180,846280,29960,720193,327450,5754514,Net Business Income,Revenus nets d'entreprise,B,18,,,2008,6
14410,448721,12460,455282,84700,2305558,Net Professional Income,Revenus nets de profession libérale,B,19,,,2008,6
5050,208450,4170,207796,38390,1155145,Net Commission Income,Revenus nets de commissions,B,20,,,2008,6
11570,138263,8420,80156,76840,661325,Net Farming Income,Revenus nets d'agriculture,B,21,,,2008,6
670,16946,260,5713,4870,124780,Net Fishing Income,Revenus nets de pêche,B,22,,,2008,6
13680,98762,7350,65079,159200,1282060,Tax Exempt Income,Revenus non imposables,B,23,,,2008,6
186880,978662,125780,697079,1219270,6210105,Other Income,Autres revenus,B,24,,,2008,6
693330,58714735,452950,42887871,5085600,348829953,Total Income Assessed,Revenu total établi,C,25,,,2008,6
338360,1731466,199460,1056223,2149010,8231216,Registered Pension Plan Contributions,Déductions pour RPA,C,26,,,2008,6
413740,2487478,283640,2063650,2643610,13397140,Registered Retirement Savings Plan Contributions,Déductions pour REER,C,27,,,2008,6
39840,573046,26260,432411,342560,4628137,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,C,28,,,2008,6
331000,328487,191160,195278,2178580,1911311,Union and Professional Dues,"Cotisations annuelles syndicales, professionnelles et semblables",C,29,,,2008,6
35940,169640,21550,101728,295560,1263349,Child Care Expenses,Frais de garde d'enfants,C,30,,,2008,6
141270,260010,102770,203674,885660,1331225,Carrying Charges & Interest Expenses,Frais financiers et frais d'intérêts,C,31,,,2008,6
23350,36817,17200,28620,188050,275464,CPP or QPP contributions on self-employed earnings,"Déd., cotisations au RPC/RRQ pour le revenu d'un travail indép./autres revenus",C,32,,,2008,6
56780,291953,41280,227987,356810,1706211,Other Employment Expenses,Autres dépenses d'emploi,C,33,,,2008,6
45140,244150,32560,227565,341220,1479762,Other Deductions (from Total Income),Autres déductions (du revenu total),C,34,,,2008,6
61450,114690,40380,106538,304210,411613,Social Benefits Repayment,Remboursement des prestations de programmes sociaux,C,35,,,2008,6
654620,6237736,425930,4643675,4572360,34635427,Total Deductions,Total des déductions (du revenu net),C,36,,,2008,6
693220,52487177,452910,38246524,5083800,314393223,Net Income,Revenu net,C,37,,,2008,6
3440,120439,1860,54505,18130,439919,Capital Gains Deduction,Déduction pour gains en capital,C,38,,,2008,6
13190,41421,13400,34500,89420,265908,Losses from Other Years,Pertes d'autres années,C,39,,,2008,6
35890,205705,25560,151539,291860,2113118,Additional Deductions (from Net Income),Déductions supplémentaires (du revenu net),C,40,,,2008,6
51590,367564,40050,244594,390860,2829741,Total Deductions from Net Income,Total des déductions (du revenu net),C,41,,,2008,6
693190,52120280,452880,38000835,5080290,311567932,Taxable Income Assessed,Revenu imposable établi,D,42,,,2008,6
16570,20828,7410,7512,435810,913256,Age Amount,Montant en raison de l'âge,D,43,,,2008,6
692970,8020095,452510,5319890,5082100,57582850,Other Federal Non-Refundable Tax Credits,Autres crédits d’impôt non remboursables fédéraux,D,44,,,2008,6
615140,1232963,402890,808502,4300220,8507907,CPP or QPP Contributions,Cotisations au RPC ou au RRQ,D,45,,,2008,6
575270,387001,368390,247982,4041100,2654481,Employment Insurance Premiums,Cotisations à l'assurance-emploi,D,46,,,2008,6
109790,28388,73410,19123,944840,229619,Provincial Parental Insurance Plan,Cotisations au Régime provincial d'assurance parentale,D,47,,,2008,6
628320,633358,410770,414308,4464210,4468076,Canada Employment Amount,Montant canadien pour emploi,D,48,,,2008,6
48220,42593,36480,33915,371720,318956,Public Transit Passes Amount,Montant pour le coût des laissez-passer de transport en commun,D,49,,,2008,6
108990,62312,76240,44101,621670,327153,Children's Fitness Amount,Montant pour la condition physique des enfants,D,50,,,2008,6
95560,186777,59020,116101,865150,1702151,Pension Income Amount,Montant pour revenu de pension,D,51,,,2008,6
19100,159906,12580,101763,151580,1196147,Disability and Caregiver Amounts,Montants pour personnes handicapées et pour aidants naturels,D,52,,,2008,6
106730,404808,69820,284208,746920,2805888,"Tuition, Education, Textbook amounts & Interest on student loans",Montants et intérêts relatifs aux études,D,53,,,2008,6
15980,59359,10230,35997,115020,446892,Amounts Transferred from Spouse,Montants transférés de votre époux ou conjoint de fait,D,54,,,2008,6
57970,187502,36380,143294,569280,1725082,Allowable Portion of Medical Expenses,Montant admissible des frais médicaux,D,55,,,2008,6
693050,1713439,452630,1136218,5083240,12428608,Total Tax Credits on Personal Amounts,Crédits d'impôt nets alloués,E,56,,,2008,6
359530,485507,244250,393840,2248990,2736403,Donations and Gifts,Dons,E,57,,,2008,6
357640,132733,243360,108642,2234530,745440,Total Tax Credit on Donations,Crédits d’impôt pour les dons,E,58,,,2008,6
693050,1846172,452640,1244860,5083300,13174048,Total Non-Refundable Tax Credits,Total des crédits d'impôt non remboursables fédéraux,F,59,,,2008,6
186820,244719,136740,198287,1178540,1324695,Federal Dividend Tax Credit,Crédit d'impôt fédéral pour dividendes,F,60,,,2008,6
691610,7600933,452170,5871355,5049130,40867272,Basic Federal Tax,Impôt fédéral de base,F,61,,,2008,6
690340,7556980,451100,5837101,5037700,40644346,Net Federal Tax,Impôt fédéral net,F,62,,,2008,6
18200,57801,13280,44402,146710,433012,CPP Contr. On Self Employment,Cot. au RPC pour le rev. d'un trav. indép.& pour d’autres rev.,F,63,,,2008,6
571110,3220555,372580,2491177,3978480,16852908,Net Provincial Tax or Territorial Tax,Impôt provincial ou territorial net,F,64,,,2008,6
692230,10950990,452510,8479218,5058770,58344561,Total Tax Payable,Total de l'impôt à payer,F,65,,,2008,6
887140,0,338030,0,187660,0,Number of Taxable Returns,Nombre de déclarations imposables,A,1,,,2008,7
2650,0,590,0,370,0,Number of Non-Taxable Returns,Nombre de déclarations non-imposables,A,2,,,2008,7
889780,0,338620,0,188030,0,Total Number of Returns,Nombre total de déclarations,A,3,,,2008,7
775320,78726266,273580,39349139,142200,56204579,Employment Income,Revenus d'emploi,B,4,,,2008,7
44710,2315205,22710,2067446,12360,3603690,Commissions (from Employment),Commissions (d'emploi),B,5,,,2008,7
175590,924070,68930,830502,38010,2884508,Other Employment Income,Autres revenus d'emploi,B,6,,,2008,7
74620,428041,36190,205223,25040,139707,Old Age Security Pension,Pension de la Sécurité de la vieillesse,B,7,,,2008,7
109460,822693,49720,386116,34300,275923,CPP or QPP Benefits,Prestations du RPC ou du RRQ,B,8,,,2008,7
95460,3121212,37730,1463374,18760,1077294,Other Pensions or Superannuation,Autres pensions ou pensions de retraite,B,9,,,2008,7
14850,22868,3900,6283,1350,2215,Universal Child Care Benefit,Prestation universelle pour la garde d'enfants,B,10,,,2008,7
23260,109092,4790,24993,1020,6495,Employment Insurance Benefits,Prestations d'assurance emploi et autres prestations,B,11,,,2008,7
338970,5202218,173320,5050891,128080,17112906,Taxable Amount of Dividends,Montant imposable des dividendes,B,12,,,2008,7
454110,3503168,206910,2445513,147690,5317994,Investment Income and Other Investment Income,Intérêts et autres revenus de placements,B,13,,,2008,7
0,0,0,0,0,0,Registered Disability Savings Plan Income,Revenus d'un régime enregistré d'épargne-invalidité,B,14,,,2008,7
87610,351164,43080,307673,28710,915648,Net Rental Income,Revenus nets de location,B,15,,,2008,7
134800,1528608,74790,1742060,59930,7759643,Taxable Capital Gains,Gains en capital imposables,B,16,,,2008,7
98240,960637,30000,524884,10600,596297,Registered Retirement Savings Plan Income,Revenu d'un REER,B,17,,,2008,7
60660,2015218,25150,1337729,15580,1777804,Net Business Income,Revenus nets d'entreprise,B,18,,,2008,7
35490,2177683,33590,4369141,30310,10261936,Net Professional Income,Revenus nets de profession libérale,B,19,,,2008,7
9830,534661,5260,487447,2210,416630,Net Commission Income,Revenus nets de commissions,B,20,,,2008,7
18030,233209,9020,217604,6000,220895,Net Farming Income,Revenus nets d'agriculture,B,21,,,2008,7
570,29988,180,20852,90,12073,Net Fishing Income,Revenus nets de pêche,B,22,,,2008,7
12990,199462,2600,65968,1070,27251,Tax Exempt Income,Revenus non imposables,B,23,,,2008,7
284420,2394679,140730,1872115,104040,4621681,Other Income,Autres revenus,B,24,,,2008,7
889780,105600140,338620,62774951,188030,113235168,Total Income Assessed,Revenu total établi,C,25,,,2008,7
319710,1862273,81940,546198,26660,233193,Registered Pension Plan Contributions,Déductions pour RPA,C,26,,,2008,7
595620,5869995,229510,3348977,126240,2332071,Registered Retirement Savings Plan Contributions,Déductions pour REER,C,27,,,2008,7
52170,1002635,22350,443318,9990,226001,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,C,28,,,2008,7
296190,311791,74960,80644,24690,23508,Union and Professional Dues,"Cotisations annuelles syndicales, professionnelles et semblables",C,29,,,2008,7
33220,174810,10590,59921,4350,26073,Child Care Expenses,Frais de garde d'enfants,C,30,,,2008,7
248780,631123,126890,548012,101720,1453633,Carrying Charges & Interest Expenses,Frais financiers et frais d'intérêts,C,31,,,2008,7
45180,77630,34880,64266,27680,52037,CPP or QPP contributions on self-employed earnings,"Déd., cotisations au RPC/RRQ pour le revenu d'un travail indép./autres revenus",C,32,,,2008,7
97680,692331,43080,465874,21500,381080,Other Employment Expenses,Autres dépenses d'emploi,C,33,,,2008,7
80910,660054,52570,708841,45630,1766075,Other Deductions (from Total Income),Autres déductions (du revenu total),C,34,,,2008,7
81500,343509,36920,199967,24890,137881,Social Benefits Repayment,Remboursement des prestations de programmes sociaux,C,35,,,2008,7
834110,11626150,318110,6466018,177100,6631553,Total Deductions,Total des déductions (du revenu net),C,36,,,2008,7
889490,93997852,338570,56309093,187930,106626481,Net Income,Revenu net,C,37,,,2008,7
8170,456599,7450,732545,10740,2241818,Capital Gains Deduction,Déduction pour gains en capital,C,38,,,2008,7
30900,121848,17630,119282,14380,270954,Losses from Other Years,Pertes d'autres années,C,39,,,2008,7
56960,511805,27570,373528,17360,2562129,Additional Deductions (from Net Income),Déductions supplémentaires (du revenu net),C,40,,,2008,7
93380,1093140,50180,1227955,39060,5087224,Total Deductions from Net Income,Total des déductions (du revenu net),C,41,,,2008,7
889000,92910296,338230,55096679,187780,101551616,Taxable Income Assessed,Revenu imposable établi,D,42,,,2008,7
5650,6054,670,1947,330,913,Age Amount,Montant en raison de l'âge,D,43,,,2008,7
888260,10503534,337620,4057146,187000,2262025,Other Federal Non-Refundable Tax Credits,Autres crédits d’impôt non remboursables fédéraux,D,44,,,2008,7
781790,1567095,287150,574582,150940,301145,CPP or QPP Contributions,Cotisations au RPC ou au RRQ,D,45,,,2008,7
676210,456031,213870,143823,89090,58834,Employment Insurance Premiums,Cotisations à l'assurance-emploi,D,46,,,2008,7
130650,34294,48330,12677,26190,6872,Provincial Parental Insurance Plan,Cotisations au Régime provincial d'assurance parentale,D,47,,,2008,7
791650,797572,282790,284233,147640,148006,Canada Employment Amount,Montant canadien pour emploi,D,48,,,2008,7
68060,62588,22390,20279,8030,7359,Public Transit Passes Amount,Montant pour le coût des laissez-passer de transport en commun,D,49,,,2008,7
163950,101138,70290,48887,41430,30938,Children's Fitness Amount,Montant pour la condition physique des enfants,D,50,,,2008,7
120360,235506,50280,97827,27980,53915,Pension Income Amount,Montant pour revenu de pension,D,51,,,2008,7
25390,206493,9040,72674,4690,38668,Disability and Caregiver Amounts,Montants pour personnes handicapées et pour aidants naturels,D,52,,,2008,7
133580,610831,50570,246620,28670,156957,"Tuition, Education, Textbook amounts & Interest on student loans",Montants et intérêts relatifs aux études,D,53,,,2008,7
20100,69421,7640,26118,3330,11527,Amounts Transferred from Spouse,Montants transférés de votre époux ou conjoint de fait,D,54,,,2008,7
82530,368766,36980,190095,27500,222206,Allowable Portion of Medical Expenses,Montant admissible des frais médicaux,D,55,,,2008,7
888880,2252333,337860,866304,187430,494742,Total Tax Credits on Personal Amounts,Crédits d'impôt nets alloués,E,56,,,2008,7
508410,993336,222410,738016,137830,2321660,Donations and Gifts,Dons,E,57,,,2008,7
506710,275977,222130,208339,137690,669514,Total Tax Credit on Donations,Crédits d’impôt pour les dons,E,58,,,2008,7
888920,2528311,337860,1074643,187480,1164256,Total Non-Refundable Tax Credits,Total des crédits d'impôt non remboursables fédéraux,F,59,,,2008,7
320960,713453,164330,710322,121340,2415413,Federal Dividend Tax Credit,Crédit d'impôt fédéral pour dividendes,F,60,,,2008,7
886530,15858065,337670,10997891,187490,23892168,Basic Federal Tax,Impôt fédéral de base,F,61,,,2008,7
884040,15727219,336530,10873571,186940,23537980,Net Federal Tax,Impôt fédéral net,F,62,,,2008,7
34450,118044,23150,83895,19110,71311,CPP Contr. On Self Employment,Cot. au RPC pour le rev. d'un trav. indép.& pour d’autres rev.,F,63,,,2008,7
743130,7006503,283130,4858689,158170,10492261,Net Provincial Tax or Territorial Tax,Impôt provincial ou territorial net,F,64,,,2008,7
887140,23196039,338030,16016122,187660,34239433,Total Tax Payable,Total de l'impôt à payer,F,65,,,2008,7
6471590,0,16945020,0,0,0,Number of Taxable Returns,Nombre de déclarations imposables,A,1,,,2008,8
30430,0,8020040,0,0,0,Number of Non-Taxable Returns,Nombre de déclarations non-imposables,A,2,,,2008,8
6502020,0,24965060,0,0,0,Total Number of Returns,Nombre total de déclarations,A,3,,,2008,8
5529840,441690800,16156230,663662507,0,0,Employment Income,Revenus d'emploi,B,4,,,2008,8
219540,11444855,510360,12999278,0,0,Commissions (from Employment),Commissions (d'emploi),B,5,,,2008,8
1062930,7168839,2286430,11177051,0,0,Other Employment Income,Autres revenus d'emploi,B,6,,,2008,8
696950,4004828,4376850,24354073,0,0,Old Age Security Pension,Pension de la Sécurité de la vieillesse,B,7,,,2008,8
1008610,7546618,5707770,35258254,0,0,CPP or QPP Benefits,Prestations du RPC ou du RRQ,B,8,,,2008,8
865210,24068872,2929930,46932689,0,0,Other Pensions or Superannuation,Autres pensions ou pensions de retraite,B,9,,,2008,8
199440,297104,1601090,2388027,0,0,Universal Child Care Benefit,Prestation universelle pour la garde d'enfants,B,10,,,2008,8
389370,2059229,2390320,14253599,0,0,Employment Insurance Benefits,Prestations d'assurance emploi et autres prestations,B,11,,,2008,8
1882120,36402019,3886560,41606996,0,0,Taxable Amount of Dividends,Montant imposable des dividendes,B,12,,,2008,8
2981020,24087473,8572300,42121390,0,0,Investment Income and Other Investment Income,Intérêts et autres revenus de placements,B,13,,,2008,8
30,19,210,809,0,0,Registered Disability Savings Plan Income,Revenus d'un régime enregistré d'épargne-invalidité,B,14,,,2008,8
527930,2283459,1289950,3136608,0,0,Net Rental Income,Revenus nets de location,B,15,,,2008,8
725660,13296912,1468400,14823963,0,0,Taxable Capital Gains,Gains en capital imposables,B,16,,,2008,8
753160,5301672,1903220,9322584,0,0,Registered Retirement Savings Plan Income,Revenu d'un REER,B,17,,,2008,8
428840,10885263,1911430,21737166,0,0,Net Business Income,Revenus nets d'entreprise,B,18,,,2008,8
184090,19114318,343230,20422675,0,0,Net Professional Income,Revenus nets de profession libérale,B,19,,,2008,8
55690,2593883,183220,3580171,0,0,Net Commission Income,Revenus nets de commissions,B,20,,,2008,8
109900,1333033,370860,1615963,0,0,Net Farming Income,Revenus nets d'agriculture,B,21,,,2008,8
5710,187693,34680,363029,0,0,Net Fishing Income,Revenus nets de pêche,B,22,,,2008,8
175850,1574740,3658760,22676484,0,0,Tax Exempt Income,Revenus non imposables,B,23,,,2008,8
1748450,15098581,4860000,28905531,0,0,Other Income,Autres revenus,B,24,,,2008,8
6502020,630440211,24289910,1021338848,0,0,Total Income Assessed,Revenu total établi,C,25,,,2008,8
2577330,10872880,4486720,13685566,0,0,Registered Pension Plan Contributions,Déductions pour RPA,C,26,,,2008,8
3594990,24948183,6290320,31745939,0,0,Registered Retirement Savings Plan Contributions,Déductions pour REER,C,27,,,2008,8
427070,6300091,963140,9621021,0,0,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,C,28,,,2008,8
2574420,2327254,5601730,3492626,0,0,Union and Professional Dues,"Cotisations annuelles syndicales, professionnelles et semblables",C,29,,,2008,8
343710,1524152,1202200,3844691,0,0,Child Care Expenses,Frais de garde d'enfants,C,30,,,2008,8
1363050,3963993,2642480,5139777,0,0,Carrying Charges & Interest Expenses,Frais financiers et frais d'intérêts,C,31,,,2008,8
295790,469396,1404040,1125608,0,0,CPP or QPP contributions on self-employed earnings,"Déd., cotisations au RPC/RRQ pour le revenu d'un travail indép./autres revenus",C,32,,,2008,8
519070,3245496,834530,4232076,0,0,Other Employment Expenses,Autres dépenses d'emploi,C,33,,,2008,8
520330,4614733,1599850,6125389,0,0,Other Deductions (from Total Income),Autres déductions (du revenu total),C,34,,,2008,8
447510,1092970,448190,1095295,0,0,Social Benefits Repayment,Remboursement des prestations de programmes sociaux,C,35,,,2008,8
5901670,59359148,13940310,80107988,0,0,Total Deductions,Total des déductions (du revenu net),C,36,,,2008,8
